Gene ID	Illumina ID	
10599	ILMN_1771118 [Chip: ]	
10606	ILMN_2286106 [Chip: ]; 0004070500 [Chip: ]; ILMN_1773760 [Chip: ]; ILMN_2392546 [Chip: ]	
10610	0002030711 [Chip: ]; ILMN_1658706 [Chip: ]	
10632	0001190672 [Chip: ]; ILMN_2079285 [Chip: ]; ILMN_1812638 [Chip: ]	
10654	0001400438 [Chip: ]; ILMN_1715896 [Chip: ]	
10678	0005340279 [Chip: ]; ILMN_1711102 [Chip: ]	
10682	0003940154 [Chip: ]; 0003170563 [Chip: ]; ILMN_1658065 [Chip: ]; ILMN_1761112 [Chip: ]; ILMN_2073604 [Chip: ]	
10690	ILMN_1878007 [Chip: ]; 0100060066 [Chip: ]; ILMN_1705352 [Chip: ]	
107	ILMN_2120555 [Chip: ]; 0001660079 [Chip: ]; ILMN_1742073 [Chip: ]	
10720	0002360253 [Chip: ]; ILMN_2162819 [Chip: ]; ILMN_1810233 [Chip: ]	
10723	ILMN_1714828 [Chip: ]; 0005290164 [Chip: ]	
10724	-	
10728	ILMN_1667916 [Chip: ]; ILMN_1719749 [Chip: ]; 0000450193 [Chip: ]; ILMN_1752566 [Chip: ]	
10768	ILMN_1770412 [Chip: ]; 0006760066 [Chip: ]	
10786	ILMN_1690979 [Chip: ]	
10797	0002230184 [Chip: ]; ILMN_2405521 [Chip: ]; ILMN_1674706 [Chip: ]	
108	ILMN_1810691 [Chip: ]; 0006380068 [Chip: ]	
10840	0105720132 [Chip: ]; ILMN_1802167 [Chip: ]; 0000730056 [Chip: ]; 0004150369 [Chip: ]	
10841	ILMN_1679646 [Chip: ]; ILMN_1663569 [Chip: ]; 0003830072 [Chip: ]	
10846	ILMN_1782955 [Chip: ]; 0003520333 [Chip: ]; ILMN_2121272 [Chip: ]	
10858	0000580494 [Chip: ]; ILMN_1697433 [Chip: ]	
10861	0006400138 [Chip: ]; 0005050242 [Chip: ]; 0006770021 [Chip: ]; ILMN_2391169 [Chip: ]; ILMN_1700379 [Chip: ]; ILMN_1808306 [Chip: ]; ILMN_1794225 [Chip: ]	
10864	ILMN_2353117 [Chip: ]; 0001340601 [Chip: ]; 0002570324 [Chip: ]; ILMN_1797391 [Chip: ]; ILMN_1706615 [Chip: ]	
10870	ILMN_1699931 [Chip: ]; 0004850433 [Chip: ]; ILMN_2396991 [Chip: ]	
10873	0002570270 [Chip: ]; ILMN_1682131 [Chip: ]; ILMN_1793615 [Chip: ]; ILMN_1762445 [Chip: ]; ILMN_1812362 [Chip: ]	
109	ILMN_1676893 [Chip: ]; 0003710008 [Chip: ]	
10901	ILMN_2185884 [Chip: ]; 0003060722 [Chip: ]	
