PROBE_ID	cal27_1	cal27_2	cal27_3
ILMN_1762337	5.82712	5.38079	5.65275
ILMN_2055271	6.00031	5.6494	5.35146
ILMN_1736007	4.41992	5.10523	4.75397
ILMN_2383229	5.62517	4.84807	5.21036
ILMN_1806310	4.47868	4.8335	5.14572
ILMN_1779670	4.99866	5.1582	5.39636
ILMN_1653355	4.83711	5.11311	5.43838
ILMN_1717783	3.77176	4.96221	4.35623
ILMN_1705025	4.86547	4.64718	5.38364
ILMN_1814316	5.52065	5.27231	5.06676
ILMN_2359168	4.52718	4.49353	4.77751
ILMN_1731507	3.93304	4.58343	4.22501
ILMN_1787689	4.55321	4.70452	4.50255
ILMN_3241953	7.11385	7.44124	7.4958
ILMN_1745607	4.68527	4.73358	4.18118
ILMN_2136495	4.94202	4.31966	4.23227
ILMN_1668111	4.89899	5.16454	4.66317
ILMN_2295559	5.08338	5.14774	4.91789
ILMN_1735045	6.67501	6.73979	6.96101
ILMN_1680754	5.61326	5.14276	5.19985
ILMN_2375184	5.31207	5.11825	4.58471
ILMN_1659452	5.3562	5.95212	5.2914
ILMN_1767388	4.84387	5.49501	5.19737
ILMN_1675204	4.73071	3.33338	4.79581
ILMN_1673870	4.64647	4.62303	4.58664
ILMN_1755321	7.06174	7.57078	7.09685
ILMN_1698554	8.38397	8.34027	8.22224
ILMN_1814092	5.11628	5.40693	5.46105
ILMN_1760414	5.66335	5.70636	5.15072
ILMN_2061446	9.04356	9.11123	8.73858
ILMN_1676336	9.21687	8.87181	8.756
ILMN_1752884	4.82566	4.9061	5.15776
ILMN_1660703	5.34582	4.85296	4.78149
ILMN_1668851	3.93858	4.6985	4.90507
ILMN_2270015	4.31889	4.91322	4.80335
ILMN_1809959	4.31699	4.45661	4.33454
ILMN_2357031	4.17639	4.30956	4.0882
ILMN_1726986	5.89123	5.46692	5.25497
ILMN_3237396	8.7232	8.4537	8.66816
ILMN_1688755	6.84091	5.36668	6.99153
ILMN_1880387	5.13468	4.87589	5.04379
ILMN_1689211	4.67003	5.13957	5.91269
