GENE,PPM
247,15.0
248,nan
249,3.0
2495,273.0
250,nan
251,nan
2512,153.0
2517,11.0
2519,2.0
2523,nan
2525,nan
2530,0.39
2531,30.0
253430,nan
2538,nan
2539,55.0
2542,1.0
2548,17.0
256435,nan
257068,nan
2571,nan
2572,nan
257202,nan
25769,nan
25796,98.0
2581,2.0
2582,5.0
25828,20.0
2583,nan
25830,nan
2584,26.0
2585,2.0
2588,0.54
2589,3.0
2590,9.0
25902,nan
2591,1.0
2592,9.0
259230,nan
2593,9.0
2595,0.33
2597,8263.0
26,0.42
26002,8.0
260293,0.25
26035,nan
26061,nan
26062,nan
26063,1.0
2618,16.0
262,nan
26227,210.0
26229,1.0
26266,nan
26275,47.0
26279,nan
2628,3.0
26289,nan
2629,6.0
26290,nan
26301,nan
2632,38.0
26330,nan
2638,925.0
2639,10.0
2643,nan
2645,nan
2650,nan
26503,2.0
2651,nan
2653,5.0
266722,0.32
267020,nan
2673,14.0
2678,4.0
2679,nan
2683,nan
2686,1.0
2687,37.0
26873,4.0
2694,nan
270,0.15
27010,2.0
27034,2.0
27068,73.0
27087,nan
27089,44.0
271,11.0
2710,nan
27109,2.0
27115,nan
2712,nan
27124,nan
2713,nan
27159,46.0
27165,1.0
2717,1.0
272,0.81
2720,7.0
27232,5.0
27235,nan
2729,33.0
2730,6.0
27306,26.0
2731,nan
27349,2.0
2739,568.0
27430,29.0
2744,5.0
2745,29.0
2746,303.0
2747,nan
275,2.0
2752,9.0
276,3.0
2762,8.0
2766,5.0
277,3.0
278,3.0
279,nan
2799,1.0
28,nan
280,nan
2805,98.0
2806,138.0
2819,5.0
2820,23.0
2821,1374.0
28231,nan
28232,nan
28234,nan
283871,10.0
284098,nan
284111,nan
284129,nan
284273,2.0
286016,nan
286297,nan
2875,nan
2876,201.0
2877,18.0
2878,443.0
2879,85.0
2880,nan
2882,3.0
28965,nan
28972,62.0
28976,4.0
28982,nan
290,12.0
291,119.0
29124,nan
292,86.0
293,44.0
2936,178.0
2937,37.0
2944,83.0
2954,6.0
2974,nan
2977,0.83
2978,nan
29785,nan
29796,69.0
2982,8.0
2983,4.0
2984,nan
2986,nan
2987,35.0
29880,7.0
29881,nan
2990,2.0
29906,nan
2992,48.0
29920,11.0
29922,1.0
29925,30.0
29926,16.0
29929,nan
29953,0.22
29958,0.08
29968,3.0
2997,5.0
2998,nan
29988,nan
30,21.0
3000,nan
30061,nan
3028,152.0
3029,145.0
3030,163.0
3032,124.0
3033,207.0
3034,nan
3036,0.55
3037,nan
3038,nan
3067,nan
3073,3.0
3074,23.0
3081,6.0
30814,nan
30815,nan
30833,31.0
3098,150.0
3099,0.97
31,0.48
3101,2.0
314,nan
3141,0.49
3145,1.0
3155,34.0
3156,nan
3157,6.0
3158,4.0
316,7.0
3162,0.7
3163,11.0
3176,37.0
3177,nan
318,9.0
32,0.14
3242,nan
3251,50.0
3283,nan
3284,nan
3290,4.0
3291,0.55
3292,nan
3293,nan
3294,0.6
3295,21.0
33,0.85
3340,nan
335,5294.0
337876,nan
338,9.0
339221,nan
34,18.0
340024,nan
341,73.0
3417,418.0
3418,516.0
3419,82.0
341947,nan
3420,27.0
3421,29.0
3422,4.0
3423,nan
3425,4.0
343,nan
344,74.0
345,167.0
347734,1.0
348,108.0
349565,0.51
