GENE,PPM
100,72.0
10005,17.0
10007,158.0
100137049,nan
10020,3.0
10026,17.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,0.49
10060,nan
10087,11.0
10090,nan
10135,199.0
10157,95.0
10164,nan
10165,196.0
10166,62.0
10195,nan
10201,28.0
10229,8.0
10246,nan
10249,nan
10257,77.0
102724197,nan
102724560,nan
10312,5.0
10317,nan
10327,635.0
10331,nan
1036,nan
10380,300.0
10390,5.0
10396,1.0
1040,7.0
10400,5.0
10402,nan
10423,78.0
10449,2.0
10455,602.0
10476,908.0
10478,36.0
10554,47.0
10555,14.0
10558,10.0
10559,nan
1056,nan
10560,25.0
10568,nan
10587,245.0
10588,15.0
10599,nan
10606,737.0
10610,nan
10632,447.0
10654,100.0
10678,nan
10682,65.0
10690,nan
107,nan
10720,nan
10723,7.0
10724,43.0
10728,1101.0
10768,55.0
10786,nan
10797,157.0
108,nan
10840,nan
10841,3.0
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,0.66
109,nan
10901,110.0
10905,74.0
10919,4.0
10935,1655.0
10948,13.0
10965,8.0
10975,nan
10991,2.0
10993,nan
10998,nan
10999,25.0
11000,4.0
11001,55.0
1103,nan
11041,37.0
11046,nan
1109,nan
111,nan
11112,255.0
11136,nan
11164,220.0
1118,nan
11181,nan
11182,2.0
11185,nan
1119,4.0
112,0.31
1120,nan
11212,23.0
11226,3.0
11227,nan
11238,nan
112483,6.0
11253,30.0
11254,2.0
112611,11.0
112724,19.0
11282,2.0
11283,nan
11285,8.0
113,0.84
113026,0.67
11309,nan
113189,7.0
11320,nan
113235,1.0
113278,nan
11332,53.0
11343,2.0
113451,nan
113675,72.0
114,nan
114112,nan
114134,nan
114805,nan
114971,104.0
115,0.62
115019,nan
115111,nan
1152,1547.0
115286,5.0
115584,nan
1158,nan
1159,408.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,17.0
12,0.83
1200,nan
120103,0.09
121260,nan
121278,nan
1215,nan
122481,nan
122622,8.0
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,0.31
124583,88.0
124637,nan
124935,2.0
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,801.0
126410,nan
1267,121.0
126792,13.0
127,0.71
127124,nan
128,343.0
128869,18.0
129607,0.28
129642,48.0
129807,nan
13,nan
130,0.15
130013,nan
130367,nan
130752,nan
131,nan
1312,1528.0
131669,nan
132,212.0
132158,nan
1327,195.0
132789,59.0
1329,202.0
1337,547.0
1339,nan
1340,324.0
1345,530.0
134526,nan
1346,nan
1347,902.0
1349,nan
1350,38.0
1351,nan
135152,nan
1356,nan
1357,nan
1358,nan
1371,151.0
1373,10.0
1374,126.0
1375,0.99
1376,256.0
137872,nan
137964,nan
1384,68.0
140679,nan
140838,11.0
142680,nan
1431,133.0
144193,0.68
144195,nan
145226,nan
146712,44.0
1468,68.0
1491,101.0
15,nan
1503,71.0
150763,nan
151531,nan
153201,nan
1537,498.0
154091,nan
1543,0.27
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,4.0
1576,nan
1577,nan
1579,nan
158,189.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,55.0
1591,0.23
1592,nan
1593,0.52
1594,nan
1595,31.0
159963,nan
160287,nan
1603,1008.0
160428,1.0
1606,2.0
1607,nan
160728,nan
1608,nan
160851,15.0
1609,nan
1610,nan
1621,nan
1622,1252.0
162417,nan
162466,nan
1629,857.0
1632,505.0
1633,101.0
1635,27.0
1636,nan
1638,nan
1644,nan
1645,nan
1650,283.0
166012,nan
1666,124.0
166785,42.0
169355,nan
170712,nan
171425,50.0
1716,22.0
1717,36.0
1718,75.0
1719,nan
1723,159.0
1727,333.0
1737,423.0
1738,245.0
1743,182.0
175,8.0
1757,1.0
178,nan
1786,16.0
1787,nan
1788,6.0
1789,nan
1798,10.0
18,nan
1800,nan
1806,0.36
1807,nan
1808,45.0
1809,10.0
1811,nan
1836,nan
1841,147.0
1854,88.0
189,0.81
1890,104.0
1891,676.0
1892,237.0
19,nan
191,223.0
192134,nan
195814,nan
1962,0.32
196743,nan
196883,nan
197257,23.0
197258,10.0
199974,nan
200010,nan
200576,0.75
201288,nan
2023,368.0
2026,159.0
2027,2.0
203,475.0
2030,9.0
204,1665.0
205,915.0
2052,818.0
2053,nan
206358,nan
2098,1027.0
210,22.0
2108,1674.0
2109,1862.0
211,nan
2110,223.0
212,nan
213,nan
2131,nan
2132,2.0
2134,nan
2135,nan
2137,nan
2147,0.41
215,22.0
216,2.0
2168,0.14
217,602.0
218,0.26
2180,220.0
2181,196.0
2182,47.0
2184,59.0
219,188.0
2194,354.0
220,3.0
2203,0.18
221,nan
221823,nan
222,nan
2222,70.0
2224,60.0
222537,nan
223,355.0
2235,457.0
224,257.0
2243,0.35
225,nan
226,1084.0
2271,571.0
22856,9.0
229,nan
22928,nan
22929,145.0
22934,22.0
22978,115.0
230,nan
23007,0.62
23057,nan
231,0.82
23169,nan
23205,nan
23236,nan
2326,nan
2327,nan
2328,nan
2329,nan
2330,3.0
23305,1.0
23315,nan
23382,3.0
23396,nan
23417,59.0
23428,nan
23430,nan
23439,nan
23443,nan
23464,55.0
23475,1.0
23478,58.0
2348,2.0
23483,nan
23498,nan
2350,nan
2352,nan
23530,1.0
23533,nan
23539,nan
23545,6.0
23556,14.0
2356,6.0
23563,nan
23600,33.0
23632,nan
23657,26.0
23743,nan
23761,nan
239,nan
240,nan
242,nan
245972,nan
245973,nan
246,nan
246213,nan
247,nan
248,nan
249,nan
2495,575.0
250,nan
251,nan
2512,46.0
2517,53.0
2519,93.0
2523,nan
2525,nan
2530,6.0
2531,45.0
253430,nan
2538,nan
2539,131.0
2542,nan
2548,198.0
256435,nan
257068,nan
2571,nan
2572,nan
257202,nan
25769,nan
25796,248.0
2581,nan
2582,172.0
