GENE,PPM
100,4.0
10005,11.0
10007,28.0
100137049,nan
10020,0.93
10026,2.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,16.0
10060,nan
10087,17.0
10090,nan
10135,161.0
10157,7.0
10164,nan
10165,9.0
10166,nan
10195,3.0
10201,nan
10229,2.0
10246,nan
10249,2.0
10257,0.11
102724197,nan
102724560,nan
10312,9.0
10317,nan
10327,194.0
10331,2.0
1036,8.0
10380,13.0
10390,9.0
10396,0.79
1040,24.0
10400,nan
10402,nan
10423,34.0
10449,174.0
10455,4.0
10476,95.0
10478,nan
10554,7.0
10555,17.0
10558,17.0
10559,nan
1056,nan
10560,nan
10568,35.0
10587,2.0
10588,3.0
10599,nan
10606,18.0
10610,0.97
10632,327.0
10654,45.0
10678,nan
10682,113.0
10690,nan
107,nan
10720,nan
10723,4.0
10724,0.68
10728,74.0
10768,24.0
10786,nan
10797,7.0
108,nan
10840,8.0
10841,30.0
10846,2.0
10858,nan
10861,nan
10864,nan
10870,nan
10873,nan
109,11.0
10901,31.0
10905,3.0
10919,2.0
10935,201.0
10948,36.0
10965,19.0
10975,80.0
10991,nan
10993,nan
10998,1.0
10999,49.0
11000,10.0
11001,nan
1103,nan
11041,nan
11046,nan
1109,14.0
111,nan
11112,62.0
11136,nan
11164,31.0
1118,nan
11181,nan
11182,nan
11185,21.0
1119,32.0
112,nan
1120,7.0
11212,22.0
11226,28.0
11227,0.33
11238,nan
112483,nan
11253,2.0
11254,nan
112611,nan
112724,6.0
11282,nan
11283,nan
11285,8.0
113,nan
113026,nan
11309,nan
113189,nan
11320,nan
113235,nan
113278,nan
11332,8.0
11343,19.0
113451,nan
113675,19.0
114,nan
114112,nan
114134,nan
114805,nan
114971,17.0
115,nan
115019,nan
115111,nan
1152,115.0
115286,nan
115584,nan
1158,11.0
1159,154.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,5.0
12,1402.0
1200,160.0
120103,nan
121260,nan
121278,nan
1215,27.0
122481,nan
122622,nan
122970,nan
123041,nan
123099,nan
123745,nan
124,333.0
1244,nan
124583,51.0
124637,nan
124935,nan
124975,nan
125,1935.0
125061,nan
125206,nan
125965,nan
126,21.0
126129,nan
126328,34.0
126410,nan
1267,10.0
126792,12.0
127,6.0
127124,nan
128,93.0
128869,2.0
129607,nan
129642,12.0
129807,nan
13,nan
130,2.0
130013,nan
130367,nan
130752,nan
131,49.0
1312,52.0
131669,nan
132,26.0
132158,nan
1327,160.0
132789,3.0
1329,73.0
1337,94.0
1339,nan
1340,47.0
1345,143.0
134526,nan
1346,2.0
1347,36.0
1349,18.0
1350,9.0
1351,29.0
135152,nan
1356,268.0
1357,nan
1358,16.0
1371,2.0
1373,5.0
1374,40.0
1375,nan
1376,3.0
137872,nan
137964,nan
1384,6.0
140679,nan
140838,nan
142680,nan
1431,134.0
144193,nan
144195,nan
145226,nan
146712,nan
1468,38.0
1491,2.0
15,nan
1503,5.0
150763,nan
151531,nan
153201,nan
1537,51.0
154091,nan
1543,nan
1544,nan
1545,7.0
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,7.0
1562,nan
1565,nan
1571,2.0
1572,nan
1573,nan
157506,151.0
1576,nan
1577,nan
1579,nan
158,17.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,14.0
1591,nan
1592,nan
1593,12.0
1594,nan
1595,3.0
159963,nan
160287,167.0
1603,97.0
160428,0.96
1606,1.0
1607,nan
160728,nan
1608,nan
160851,5.0
1609,nan
1610,nan
1621,nan
1622,234.0
162417,nan
162466,nan
1629,6.0
1632,44.0
1633,56.0
1635,16.0
1636,9.0
1638,nan
1644,nan
1645,60.0
1650,74.0
166012,nan
1666,87.0
166785,2.0
169355,nan
170712,nan
171425,3.0
1716,3.0
1717,20.0
1718,16.0
1719,nan
1723,18.0
1727,279.0
1737,9.0
1738,43.0
1743,39.0
175,26.0
1757,1.0
178,0.28
1786,2.0
1787,nan
1788,nan
1789,8.0
1798,4.0
18,24.0
1800,nan
1806,7.0
1807,5.0
1808,362.0
1809,95.0
1811,nan
1836,nan
1841,29.0
1854,8.0
189,28.0
1890,204.0
1891,146.0
1892,192.0
19,nan
191,91.0
192134,nan
195814,12.0
1962,23.0
196743,nan
196883,nan
197257,3.0
197258,0.78
199974,nan
200010,nan
200576,nan
201288,nan
2023,1144.0
2026,22.0
2027,21.0
203,273.0
2030,1.0
204,85.0
205,19.0
2052,280.0
2053,4.0
206358,nan
2098,278.0
210,64.0
2108,100.0
2109,112.0
211,nan
2110,17.0
212,nan
213,27128.0
2131,nan
2132,nan
2134,nan
2135,nan
2137,nan
2147,32.0
215,0.56
216,641.0
2168,247.0
217,491.0
218,325.0
2180,53.0
2181,12.0
2182,5.0
2184,7.0
219,17.0
2194,38.0
220,49.0
2203,550.0
221,12.0
221823,nan
222,17.0
2222,2.0
2224,69.0
222537,nan
223,61.0
2235,11.0
224,54.0
2243,1024.0
225,nan
226,736.0
2271,43.0
22856,nan
229,41.0
22928,nan
22929,14.0
22934,15.0
22978,10.0
230,27.0
23007,nan
23057,nan
231,109.0
23169,nan
23205,nan
23236,nan
2326,nan
2327,nan
2328,8.0
2329,0.18
2330,4.0
23305,nan
23315,nan
23382,16.0
23396,nan
23417,0.58
23428,nan
23430,1277.0
23439,nan
23443,6.0
23464,nan
23475,5.0
23478,26.0
2348,10.0
23483,nan
23498,15.0
2350,17.0
2352,nan
23530,36.0
23533,nan
23539,nan
23545,0.3
23556,0.22
2356,nan
23563,nan
23600,nan
23632,nan
23657,4.0
23743,nan
23761,1.0
239,nan
240,15.0
242,nan
245972,nan
245973,nan
246,13.0
246213,nan
247,7.0
248,nan
249,4.0
2495,188.0
250,nan
251,nan
2512,389.0
2517,32.0
2519,nan
2523,nan
2525,nan
2530,nan
2531,8.0
253430,nan
2538,nan
2539,58.0
2542,nan
2548,3.0
256435,nan
257068,nan
2571,nan
2572,nan
257202,nan
25769,nan
25796,201.0
2581,nan
2582,16.0
25828,26.0
2583,nan
25830,nan
2584,12.0
2585,nan
2588,2.0
2589,8.0
2590,12.0
25902,3.0
2591,4.0
2592,3.0
259230,nan
2593,4.0
2595,nan
2597,1117.0
26,nan
26002,2.0
260293,0.78
26035,nan
26061,nan
26062,nan
26063,8.0
2618,4.0
262,nan
26227,37.0
26229,7.0
26266,nan
26275,12.0
26279,nan
2628,11.0
26289,nan
2629,nan
26290,nan
26301,nan
2632,23.0
26330,nan
2638,464.0
2639,5.0
2643,nan
2645,nan
2650,nan
26503,nan
2651,nan
2653,nan
266722,nan
267020,nan
2673,17.0
2678,nan
2679,nan
2683,0.43
2686,0.55
2687,10.0
26873,6.0
2694,nan
270,nan
27010,nan
27034,7.0
27068,48.0
27087,nan
27089,91.0
271,2.0
2710,41.0
27109,2.0
27115,nan
2712,nan
27124,nan
2713,nan
27159,nan
27165,2.0
2717,8.0
272,0.41
2720,23.0
27232,nan
27235,nan
2729,5.0
2730,14.0
27306,41.0
2731,nan
27349,16.0
2739,151.0
27430,38.0
2744,14.0
2745,79.0
2746,169.0
2747,59.0
275,nan
2752,15.0
276,nan
2762,4.0
2766,nan
277,nan
278,nan
279,nan
2799,12.0
28,nan
280,nan
2805,49.0
2806,114.0
2819,21.0
2820,12.0
2821,259.0
28231,nan
28232,nan
28234,nan
283871,2.0
284098,nan
284111,nan
284129,nan
284273,nan
286016,nan
286297,nan
2875,2.0
2876,79.0
2877,11.0
2878,178.0
2879,19.0
2880,nan
2882,3.0
28965,nan
28972,64.0
28976,7.0
28982,nan
290,10.0
291,160.0
29124,nan
292,165.0
293,74.0
2936,60.0
2937,9.0
2944,nan
2954,11.0
2974,nan
2977,nan
2978,nan
29785,1.0
29796,54.0
2982,4.0
2983,2.0
2984,nan
2986,nan
2987,25.0
29880,5.0
29881,0.24
2990,11.0
29906,nan
2992,9.0
29920,10.0
29922,nan
29925,12.0
29926,18.0
29929,3.0
29953,nan
29958,0.29
29968,10.0
2997,5.0
2998,nan
29988,nan
30,62.0
3000,nan
30061,nan
3028,239.0
3029,11.0
3030,382.0
3032,309.0
3033,99.0
3034,nan
3036,nan
3037,0.78
3038,nan
3067,nan
3073,28.0
3074,53.0
3081,26.0
30814,nan
30815,nan
30833,23.0
3098,36.0
3099,5.0
31,6.0
3101,10.0
314,nan
3141,nan
3145,1.0
3155,36.0
3156,nan
3157,5.0
3158,112.0
316,2.0
3162,5.0
3163,12.0
3176,46.0
3177,nan
318,5.0
32,nan
3242,9.0
3251,57.0
3283,nan
3284,nan
3290,5.0
3291,nan
3292,nan
3293,nan
3294,nan
3295,87.0
33,10.0
3340,nan
335,5738.0
337876,nan
338,31.0
339221,nan
34,14.0
340024,nan
341,306.0
3417,294.0
3418,83.0
3419,67.0
341947,nan
3420,17.0
3421,10.0
3422,8.0
3423,nan
3425,nan
343,nan
344,165.0
345,249.0
347734,4.0
348,310.0
349565,nan
35,12.0
353,104.0
358,201.0
359,nan
36,8.0
361,56.0
3612,7.0
3613,3.0
3614,0.93
3615,42.0
362,nan
3620,4.0
3628,2.0
3631,nan
3632,3.0
3633,nan
3635,0.14
3636,0.17
3658,1.0
366,nan
37,51.0
3704,34.0
3706,nan
3707,nan
3712,13.0
373156,111.0
374291,30.0
374569,nan
374907,nan
