GENE,PPM
100,91.0
10005,7.0
10007,168.0
100137049,nan
10020,74.0
10026,29.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,0.7
10060,nan
10087,15.0
10090,nan
10135,374.0
10157,0.9
10164,nan
10165,140.0
10166,14.0
10195,nan
10201,7.0
10229,nan
10246,nan
10249,nan
10257,13.0
102724197,nan
102724560,nan
10312,2.0
10317,nan
10327,129.0
10331,nan
1036,nan
10380,71.0
10390,9.0
10396,nan
1040,nan
10400,nan
10402,nan
10423,33.0
10449,144.0
10455,277.0
10476,311.0
10478,35.0
10554,9.0
10555,6.0
10558,7.0
10559,nan
1056,nan
10560,6.0
10568,nan
10587,20.0
10588,5.0
10599,nan
10606,769.0
10610,nan
10632,314.0
10654,31.0
10678,nan
10682,252.0
10690,nan
107,nan
10720,nan
10723,0.62
10724,65.0
10728,1277.0
10768,134.0
10786,nan
10797,127.0
108,nan
10840,nan
10841,10.0
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,0.42
109,nan
10901,8.0
10905,11.0
10919,3.0
10935,783.0
10948,0.57
10965,nan
10975,nan
10991,nan
10993,nan
10998,nan
10999,30.0
11000,0.36
11001,128.0
1103,nan
11041,7.0
11046,nan
1109,nan
111,nan
11112,24.0
11136,nan
11164,695.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,7.0
112,0.58
1120,nan
11212,11.0
11226,37.0
11227,nan
11238,nan
112483,nan
11253,8.0
11254,2.0
112611,1.0
112724,28.0
11282,2.0
11283,nan
11285,4.0
113,nan
113026,3.0
11309,nan
113189,13.0
11320,nan
113235,2.0
113278,nan
11332,75.0
11343,2.0
113451,nan
113675,1.0
114,nan
114112,nan
114134,nan
114805,nan
114971,16.0
115,0.42
115019,nan
115111,nan
1152,1105.0
115286,nan
115584,nan
1158,nan
1159,53.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,4.0
12,0.65
1200,nan
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,2.0
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,5.0
124583,39.0
124637,nan
124935,2.0
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,150.0
126410,nan
1267,87.0
126792,2.0
127,0.43
127124,nan
128,420.0
128869,24.0
129607,2.0
129642,1.0
129807,nan
13,nan
130,0.18
130013,nan
130367,nan
130752,nan
131,nan
1312,529.0
131669,nan
132,156.0
132158,nan
1327,268.0
132789,25.0
1329,91.0
1337,198.0
1339,nan
1340,218.0
1345,399.0
134526,nan
1346,nan
1347,427.0
1349,nan
1350,20.0
1351,nan
135152,nan
1356,nan
1357,nan
1358,nan
1371,127.0
1373,611.0
1374,55.0
1375,nan
1376,47.0
137872,nan
137964,nan
1384,3.0
140679,nan
140838,11.0
142680,nan
1431,339.0
144193,nan
144195,nan
145226,nan
146712,1.0
1468,18.0
1491,111.0
15,nan
1503,227.0
150763,nan
151531,nan
153201,nan
1537,441.0
154091,nan
1543,nan
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,11.0
1576,nan
1577,nan
1579,nan
158,140.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,130.0
1591,0.12
1592,nan
1593,1.0
1594,nan
1595,41.0
159963,nan
160287,nan
1603,520.0
160428,5.0
1606,3.0
1607,nan
160728,nan
1608,nan
160851,0.52
1609,nan
1610,nan
1621,nan
1622,696.0
162417,nan
162466,nan
1629,88.0
1632,267.0
1633,41.0
1635,12.0
1636,nan
1638,nan
1644,nan
1645,nan
1650,214.0
166012,nan
1666,55.0
166785,2.0
169355,nan
170712,nan
171425,2.0
1716,4.0
1717,27.0
1718,221.0
1719,nan
1723,30.0
1727,692.0
1737,62.0
1738,342.0
1743,19.0
175,0.58
1757,2.0
178,nan
1786,67.0
1787,nan
1788,0.63
1789,2.0
1798,4.0
18,nan
1800,nan
1806,0.34
1807,nan
1808,132.0
1809,10.0
1811,nan
1836,0.53
1841,76.0
1854,278.0
189,nan
1890,384.0
1891,135.0
1892,371.0
19,nan
191,268.0
192134,nan
195814,0.95
1962,0.6
196743,2.0
196883,nan
