GENE,PPM
100,26.0
10005,67.0
10007,167.0
100137049,nan
10020,54.0
10026,9.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,0.14
10060,nan
10087,34.0
10090,nan
10135,458.0
10157,1.0
10164,nan
10165,126.0
10166,4.0
10195,nan
10201,nan
10229,nan
10246,nan
10249,nan
10257,10.0
102724197,nan
102724560,nan
10312,1.0
10317,nan
10327,201.0
10331,nan
1036,nan
10380,144.0
10390,25.0
10396,nan
1040,nan
10400,nan
10402,nan
10423,33.0
10449,20.0
10455,64.0
10476,615.0
10478,4.0
10554,15.0
10555,nan
10558,48.0
10559,nan
1056,nan
10560,10.0
10568,nan
10587,36.0
10588,2.0
10599,nan
10606,1433.0
10610,nan
10632,243.0
10654,83.0
10678,3.0
10682,71.0
10690,nan
107,nan
10720,nan
10723,1.0
10724,61.0
10728,275.0
10768,23.0
10786,nan
10797,160.0
108,nan
10840,nan
10841,1.0
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,0.82
109,nan
10901,8.0
10905,38.0
10919,3.0
10935,439.0
10948,15.0
10965,nan
10975,nan
10991,nan
10993,nan
10998,nan
10999,22.0
11000,5.0
11001,57.0
1103,nan
11041,nan
11046,nan
1109,nan
111,nan
11112,12.0
11136,nan
11164,643.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,4.0
112,nan
1120,nan
11212,25.0
11226,0.9
11227,9.0
11238,nan
112483,nan
11253,6.0
11254,nan
112611,nan
112724,50.0
11282,4.0
11283,nan
11285,nan
113,0.98
113026,0.27
11309,nan
113189,2.0
11320,nan
113235,nan
113278,nan
11332,98.0
11343,nan
113451,nan
113675,6.0
114,nan
114112,nan
114134,nan
114805,nan
114971,9.0
115,nan
115019,nan
115111,nan
1152,1107.0
115286,nan
115584,nan
1158,nan
1159,16.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,6.0
12,0.25
1200,nan
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,4.0
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,0.16
124583,49.0
124637,nan
124935,0.52
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,242.0
126410,nan
