GENE,PPM
100,nan
10005,10.0
10007,64.0
100137049,nan
10020,141.0
10026,6.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,0.79
10090,nan
10135,103.0
10157,nan
10164,nan
10165,257.0
10166,30.0
10195,nan
10201,nan
10229,nan
10246,nan
10249,nan
10257,23.0
102724197,nan
102724560,nan
10312,0.94
10317,nan
10327,372.0
10331,nan
1036,466.0
10380,84.0
10390,25.0
10396,nan
1040,nan
10400,nan
10402,nan
10423,22.0
10449,41.0
10455,71.0
10476,123.0
10478,nan
10554,10.0
10555,nan
10558,64.0
10559,nan
1056,nan
10560,nan
10568,nan
10587,8.0
10588,nan
10599,nan
10606,285.0
10610,nan
10632,467.0
10654,81.0
10678,nan
10682,9.0
10690,nan
107,nan
10720,nan
10723,nan
10724,2.0
10728,113.0
10768,9.0
10786,nan
10797,31.0
108,nan
10840,nan
10841,nan
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,nan
109,nan
10901,32.0
10905,nan
10919,nan
10935,533.0
10948,nan
10965,20.0
10975,18.0
10991,nan
10993,1.0
10998,nan
10999,7.0
11000,3.0
11001,nan
1103,nan
11041,nan
11046,nan
1109,nan
111,127.0
11112,66.0
11136,nan
11164,59.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,nan
112,nan
1120,nan
11212,31.0
11226,10.0
11227,52.0
11238,nan
112483,nan
11253,6.0
11254,nan
112611,nan
112724,6.0
11282,nan
11283,nan
11285,nan
113,nan
113026,nan
11309,nan
113189,nan
11320,nan
113235,nan
113278,nan
11332,4.0
11343,3.0
113451,nan
113675,7.0
114,nan
114112,nan
114134,nan
114805,nan
114971,5.0
115,nan
115019,nan
115111,nan
1152,2.0
115286,nan
115584,nan
1158,nan
1159,43.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,11.0
12,1259.0
1200,169.0
120103,nan
121260,nan
121278,nan
1215,264.0
122481,nan
122622,4.0
122970,nan
123041,nan
123099,3.0
123745,nan
124,nan
1244,nan
124583,2.0
124637,nan
124935,nan
124975,nan
125,338.0
125061,nan
125206,nan
125965,nan
126,nan
126129,13.0
126328,70.0
126410,2.0
1267,97.0
126792,nan
127,nan
127124,nan
128,199.0
128869,1.0
129607,nan
129642,3.0
129807,nan
13,nan
130,32.0
130013,nan
130367,nan
130752,nan
131,46.0
1312,228.0
131669,nan
132,28.0
132158,nan
1327,88.0
132789,4.0
1329,47.0
1337,nan
1339,nan
1340,16.0
1345,104.0
134526,nan
1346,4.0
1347,107.0
1349,14.0
1350,16.0
1351,7.0
135152,nan
1356,87.0
1357,nan
1358,nan
1371,26.0
1373,0.15
1374,74.0
1375,nan
1376,17.0
137872,nan
137964,nan
1384,16.0
140679,nan
140838,nan
142680,nan
1431,414.0
144193,nan
144195,nan
145226,nan
146712,nan
1468,31.0
1491,nan
15,nan
1503,39.0
150763,nan
151531,nan
153201,nan
1537,116.0
154091,nan
1543,nan
1544,nan
1545,3.0
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,28.0
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,nan
1576,nan
1577,nan
1579,nan
158,8.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,24.0
1591,nan
1592,5.0
1593,3.0
1594,nan
1595,4.0
159963,nan
160287,nan
1603,155.0
160428,4.0
1606,nan
1607,nan
160728,7.0
1608,nan
160851,nan
1609,0.12
1610,nan
1621,nan
1622,854.0
162417,nan
162466,nan
1629,6.0
1632,162.0
1633,nan
1635,22.0
1636,5.0
1638,nan
1644,nan
1645,nan
1650,482.0
166012,nan
1666,113.0
166785,2.0
169355,nan
170712,nan
171425,nan
1716,nan
1717,87.0
1718,16.0
1719,nan
1723,nan
1727,244.0
1737,83.0
1738,37.0
1743,176.0
175,11.0
1757,nan
178,5.0
1786,7.0
1787,nan
1788,nan
1789,nan
1798,2.0
18,160.0
1800,nan
1806,4.0
1807,nan
1808,238.0
1809,124.0
1811,nan
1836,nan
1841,20.0
1854,18.0
189,nan
1890,516.0
1891,54.0
1892,176.0
19,nan
191,609.0
192134,nan
195814,nan
1962,nan
196743,nan
196883,nan
197257,nan
197258,2.0
199974,57.0
200010,nan
200576,3.0
201288,nan
2023,1539.0
2026,24.0
2027,66.0
203,136.0
2030,10.0
204,155.0
205,14.0
2052,282.0
2053,37.0
206358,nan
2098,90.0
210,91.0
2108,99.0
2109,89.0
211,nan
2110,nan
212,nan
213,13189.0
2131,nan
2132,nan
2134,1.0
2135,nan
2137,nan
2147,60.0
215,73.0
216,54.0
2168,nan
217,93.0
218,nan
2180,28.0
2181,70.0
2182,492.0
2184,124.0
219,39.0
2194,381.0
220,nan
2203,775.0
221,nan
221823,nan
222,nan
2222,nan
2224,129.0
222537,nan
223,379.0
2235,20.0
224,29.0
2243,146.0
225,nan
226,942.0
2271,125.0
22856,nan
229,nan
22928,nan
22929,17.0
22934,nan
22978,2.0
230,167.0
23007,nan
23057,nan
231,164.0
23169,nan
23205,nan
23236,nan
2326,nan
2327,nan
2328,nan
2329,nan
2330,nan
23305,nan
23315,nan
23382,nan
23396,nan
23417,3.0
23428,nan
23430,nan
23439,nan
23443,nan
23464,nan
23475,16.0
23478,28.0
2348,nan
23483,nan
23498,nan
2350,nan
2352,nan
23530,15.0
23533,nan
23539,nan
23545,nan
23556,nan
2356,0.34
23563,nan
23600,nan
23632,nan
23657,nan
23743,nan
23761,nan
239,nan
240,0.83
242,nan
245972,4.0
245973,nan
246,nan
246213,nan
247,nan
248,nan
249,nan
2495,605.0
250,nan
251,nan
2512,1791.0
2517,17.0
2519,1.0
2523,nan
2525,nan
2530,49.0
2531,4.0
253430,nan
2538,nan
2539,127.0
2542,23.0
2548,14.0
256435,nan
257068,nan
2571,nan
2572,nan
257202,nan
25769,nan
25796,164.0
2581,nan
2582,53.0
25828,nan
2583,nan
25830,nan
2584,10.0
2585,3.0
2588,3.0
2589,5.0
2590,3.0
25902,167.0
2591,18.0
2592,nan
259230,15.0
2593,19.0
2595,12.0
2597,5186.0
26,nan
26002,nan
260293,21.0
26035,0.24
26061,nan
26062,nan
26063,8.0
2618,27.0
262,nan
26227,53.0
26229,21.0
26266,nan
26275,49.0
26279,nan
2628,2.0
26289,nan
2629,6.0
26290,nan
26301,nan
2632,14.0
26330,nan
2638,62.0
2639,10.0
2643,nan
2645,nan
2650,nan
26503,nan
2651,nan
2653,nan
266722,nan
267020,nan
2673,27.0
2678,nan
2679,nan
2683,4.0
2686,nan
2687,10.0
26873,2.0
2694,nan
270,nan
27010,nan
27034,3.0
27068,141.0
27087,nan
27089,60.0
271,2.0
2710,nan
27109,0.92
27115,nan
2712,nan
27124,nan
2713,nan
27159,nan
27165,nan
2717,6.0
272,0.91
2720,18.0
27232,nan
27235,nan
2729,nan
2730,109.0
27306,nan
2731,nan
27349,nan
2739,470.0
27430,52.0
2744,nan
2745,87.0
2746,230.0
2747,nan
275,nan
2752,61.0
276,18.0
2762,79.0
2766,0.96
277,18.0
278,18.0
279,nan
2799,nan
28,nan
280,nan
2805,110.0
2806,207.0
2819,12.0
2820,378.0
2821,307.0
28231,nan
28232,nan
28234,nan
283871,3.0
284098,5.0
284111,nan
284129,nan
284273,9.0
286016,nan
286297,nan
2875,18.0
2876,62.0
2877,nan
2878,38.0
2879,59.0
2880,nan
2882,nan
28965,nan
28972,nan
28976,9.0
28982,nan
290,3.0
291,61.0
29124,nan
292,1106.0
293,404.0
2936,81.0
2937,89.0
2944,nan
2954,15.0
2974,38.0
2977,nan
2978,nan
29785,nan
29796,67.0
2982,nan
2983,nan
2984,nan
2986,nan
2987,29.0
29880,22.0
29881,nan
2990,74.0
29906,nan
2992,66.0
29920,34.0
29922,46.0
29925,90.0
29926,63.0
29929,nan
29953,nan
29958,nan
29968,nan
2997,23.0
2998,nan
29988,nan
30,85.0
3000,nan
30061,nan
3028,491.0
3029,25.0
3030,544.0
3032,403.0
3033,163.0
3034,nan
3036,22.0
3037,nan
3038,nan
3067,nan
3073,27.0
3074,57.0
3081,49.0
30814,nan
30815,nan
30833,8.0
3098,118.0
3099,5.0
31,8.0
3101,nan
314,nan
3141,nan
3145,2.0
3155,23.0
3156,nan
3157,3.0
3158,76.0
316,nan
3162,nan
3163,35.0
3176,46.0
3177,nan
318,9.0
32,nan
3242,nan
3251,43.0
3283,nan
3284,nan
3290,nan
3291,nan
3292,nan
3293,nan
3294,nan
3295,98.0
33,nan
3340,nan
335,2377.0
337876,3.0
338,9.0
339221,nan
34,22.0
340024,nan
341,47.0
3417,541.0
3418,671.0
3419,75.0
341947,nan
3420,10.0
3421,8.0
3422,5.0
3423,nan
3425,nan
343,nan
344,6.0
345,32.0
347734,91.0
348,190.0
349565,nan
35,5.0
353,80.0
358,nan
359,nan
36,128.0
361,nan
3612,7.0
3613,nan
3614,nan
3615,450.0
362,nan
3620,nan
3628,1.0
3631,nan
3632,32.0
3633,nan
3635,nan
3636,10.0
3658,nan
366,nan
37,233.0
3704,15.0
3706,nan
3707,nan
3712,109.0
373156,174.0
374291,19.0
374569,nan
374907,nan
375056,2.0
3764,nan
376497,9.0
3767,nan
377677,nan
377841,nan
3795,nan
38,213.0
383,nan
384,nan
386757,nan
387775,nan
387893,nan
389015,nan
39,25.0
3906,nan
3931,nan
3938,nan
3939,1018.0
3945,310.0
3948,nan
3988,nan
3990,nan
3992,160.0
4017,nan
4023,nan
4025,nan
4035,2.0
4036,nan
4047,6.0
4048,121.0
4051,nan
4056,nan
410,6.0
411,nan
412,nan
4121,nan
4122,nan
4123,8.0
4124,6.0
4125,3.0
4126,1.0
4128,10.0
4129,10.0
4143,nan
4144,126.0
4166,nan
4190,177.0
4191,1731.0
4199,0.71
4200,4.0
4245,1.0
4247,55.0
4248,nan
4249,nan
4257,248.0
4258,nan
4259,110.0
427,314.0
4284,nan
43,nan
4329,143.0
435,16.0
4351,24.0
