GENE,PPM
100,4340.0
10005,31.0
10007,290.0
100137049,nan
10020,61.0
10026,12.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,0.88
10060,nan
10087,38.0
10090,nan
10135,315.0
10157,31.0
10164,nan
10165,44.0
10166,2.0
10195,nan
10201,0.81
10229,nan
10246,nan
10249,nan
10257,3.0
102724197,nan
102724560,nan
10312,1.0
10317,nan
10327,173.0
10331,nan
1036,nan
10380,135.0
10390,16.0
10396,nan
1040,nan
10400,nan
10402,nan
10423,48.0
10449,101.0
10455,252.0
10476,461.0
10478,21.0
10554,14.0
10555,3.0
10558,15.0
10559,nan
1056,nan
10560,nan
10568,nan
10587,4.0
10588,3.0
10599,nan
10606,839.0
10610,nan
10632,491.0
10654,82.0
10678,nan
10682,102.0
10690,nan
107,nan
10720,nan
10723,5.0
10724,13.0
10728,695.0
10768,58.0
10786,nan
10797,110.0
108,nan
10840,8.0
10841,1.0
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,2.0
109,nan
10901,47.0
10905,16.0
10919,1.0
10935,750.0
10948,13.0
10965,nan
10975,nan
10991,nan
10993,nan
10998,nan
10999,22.0
11000,3.0
11001,8.0
1103,nan
11041,3.0
11046,nan
1109,nan
111,nan
11112,40.0
11136,nan
11164,707.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,2.0
112,nan
1120,nan
11212,79.0
11226,1.0
11227,nan
11238,nan
112483,nan
11253,10.0
11254,nan
112611,nan
112724,9.0
11282,nan
11283,nan
11285,3.0
113,nan
113026,0.98
11309,nan
113189,2.0
11320,2.0
113235,nan
113278,nan
11332,384.0
11343,nan
113451,nan
113675,10.0
114,nan
114112,nan
114134,nan
114805,nan
114971,7.0
115,0.26
115019,nan
115111,nan
1152,2.0
115286,nan
115584,nan
1158,nan
1159,5.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,nan
12,0.63
1200,nan
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,2.0
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,0.15
124583,17.0
124637,nan
124935,0.98
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,153.0
126410,nan
1267,134.0
126792,2.0
127,0.54
127124,nan
128,894.0
128869,17.0
129607,14.0
129642,28.0
129807,nan
13,nan
130,0.16
130013,nan
130367,nan
130752,nan
131,nan
1312,543.0
131669,nan
132,74.0
132158,nan
1327,201.0
132789,27.0
1329,25.0
1337,54.0
1339,nan
1340,277.0
1345,765.0
134526,nan
1346,nan
1347,561.0
1349,nan
1350,6.0
1351,nan
135152,nan
1356,nan
1357,nan
1358,nan
1371,129.0
1373,2.0
1374,94.0
1375,nan
1376,64.0
137872,nan
137964,nan
1384,30.0
140679,nan
140838,14.0
142680,nan
1431,352.0
144193,nan
144195,nan
145226,nan
146712,10.0
1468,16.0
1491,10.0
15,nan
1503,292.0
150763,nan
151531,nan
153201,nan
1537,196.0
154091,nan
1543,0.24
