GENE,PPM
100,202.0
10005,25.0
10007,138.0
100137049,nan
10020,6.0
10026,21.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,9.0
10060,nan
10087,17.0
10090,3.0
10135,492.0
10157,1.0
10164,nan
10165,239.0
10166,71.0
10195,nan
10201,10.0
10229,14.0
10246,nan
10249,nan
10257,5.0
102724197,nan
102724560,nan
10312,1.0
10317,nan
10327,49.0
10331,nan
1036,nan
10380,77.0
10390,9.0
10396,nan
1040,17.0
10400,nan
10402,nan
10423,106.0
10449,138.0
10455,77.0
10476,275.0
10478,42.0
10554,3.0
10555,5.0
10558,24.0
10559,nan
1056,nan
10560,nan
10568,nan
10587,37.0
10588,15.0
10599,nan
10606,718.0
10610,8.0
10632,182.0
10654,109.0
10678,20.0
10682,135.0
10690,nan
107,nan
10720,nan
10723,1.0
10724,34.0
10728,154.0
10768,51.0
10786,nan
10797,134.0
108,nan
10840,nan
10841,5.0
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,1.0
109,nan
10901,67.0
10905,34.0
10919,5.0
10935,371.0
10948,9.0
10965,nan
10975,nan
10991,nan
10993,nan
10998,nan
10999,43.0
11000,44.0
11001,31.0
1103,nan
11041,5.0
11046,nan
1109,nan
111,nan
11112,66.0
11136,nan
11164,436.0
1118,nan
11181,nan
11182,7.0
11185,nan
1119,10.0
112,0.68
1120,nan
11212,66.0
11226,99.0
11227,nan
11238,nan
112483,nan
11253,17.0
11254,3.0
112611,nan
112724,4.0
11282,4.0
11283,nan
11285,9.0
113,nan
113026,1.0
11309,nan
113189,8.0
11320,nan
113235,nan
113278,nan
11332,178.0
11343,3.0
113451,nan
113675,110.0
114,nan
114112,nan
114134,nan
114805,nan
114971,75.0
115,0.59
115019,nan
115111,nan
1152,1.0
115286,nan
115584,nan
1158,nan
1159,95.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,8.0
12,0.38
1200,nan
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,14.0
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,0.79
124583,46.0
124637,nan
124935,8.0
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,183.0
126410,nan
1267,46.0
126792,4.0
127,1.0
127124,nan
128,442.0
128869,18.0
129607,3.0
129642,2.0
129807,nan
13,nan
130,0.08
130013,nan
130367,nan
130752,nan
131,nan
1312,1942.0
131669,nan
132,99.0
132158,nan
1327,186.0
132789,4.0
1329,68.0
1337,111.0
1339,nan
1340,342.0
1345,352.0
134526,nan
1346,nan
1347,259.0
1349,nan
1350,25.0
1351,nan
135152,nan
1356,nan
1357,nan
1358,nan
1371,118.0
1373,3.0
1374,65.0
1375,nan
1376,44.0
137872,nan
137964,nan
1384,2.0
140679,nan
140838,26.0
142680,nan
1431,485.0
144193,0.36
144195,nan
145226,nan
146712,1.0
1468,19.0
1491,5.0
15,nan
1503,229.0
150763,nan
151531,nan
153201,nan
1537,405.0
154091,nan
1543,nan
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,0.81
1576,nan
1577,nan
1579,nan
158,219.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,119.0
1591,0.12
1592,nan
1593,0.94
1594,nan
1595,47.0
159963,nan
160287,nan
1603,1145.0
160428,0.64
1606,3.0
1607,nan
160728,nan
1608,nan
160851,0.41
1609,nan
1610,nan
1621,nan
1622,1120.0
162417,nan
162466,nan
1629,38.0
1632,141.0
1633,56.0
1635,44.0
1636,nan
1638,nan
1644,nan
1645,nan
1650,409.0
166012,nan
1666,132.0
166785,0.42
169355,nan
170712,nan
171425,2.0
1716,24.0
1717,123.0
1718,327.0
1719,nan
1723,73.0
1727,234.0
1737,82.0
1738,255.0
