GENE,PPM
100,41.0
10005,nan
10007,56.0
100137049,nan
10020,nan
10026,nan
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,nan
10090,nan
10135,53.0
10157,nan
10164,nan
10165,nan
10166,nan
10195,nan
10201,nan
10229,22.0
10246,nan
10249,nan
10257,nan
102724197,nan
102724560,nan
10312,nan
10317,nan
10327,1101.0
10331,nan
1036,nan
10380,161.0
10390,nan
10396,nan
1040,nan
10400,nan
10402,nan
10423,3.0
10449,17.0
10455,nan
10476,27.0
10478,nan
10554,nan
10555,nan
10558,nan
10559,3.0
1056,nan
10560,nan
10568,nan
10587,4.0
10588,1.0
10599,nan
10606,13.0
10610,nan
10632,33.0
10654,100.0
10678,nan
10682,37.0
10690,nan
107,nan
10720,nan
10723,nan
10724,0.62
10728,209.0
10768,1.0
10786,nan
10797,0.66
108,nan
10840,0.08
10841,nan
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,nan
109,nan
10901,nan
10905,nan
10919,nan
10935,225.0
10948,nan
10965,7.0
10975,9.0
10991,nan
10993,nan
10998,nan
10999,nan
11000,nan
11001,nan
1103,nan
11041,nan
11046,nan
1109,nan
111,nan
11112,100.0
11136,nan
11164,185.0
1118,nan
11181,nan
11182,nan
11185,9.0
1119,nan
112,nan
1120,11.0
11212,85.0
11226,8.0
11227,2.0
11238,8.0
112483,5.0
11253,0.68
11254,nan
112611,nan
112724,0.24
11282,nan
11283,nan
11285,nan
113,nan
113026,nan
11309,nan
113189,nan
11320,nan
113235,nan
113278,nan
11332,32.0
11343,15.0
113451,nan
113675,4.0
114,nan
114112,nan
114134,nan
114805,nan
114971,nan
115,nan
115019,nan
115111,nan
1152,152.0
115286,nan
115584,nan
1158,4669.0
1159,53.0
1160,217.0
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,nan
12,272.0
1200,246.0
120103,nan
121260,nan
121278,nan
1215,6.0
122481,nan
122622,5.0
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,13.0
124583,0.87
124637,nan
124935,nan
124975,nan
125,212.0
125061,2.0
125206,nan
125965,nan
126,nan
126129,nan
126328,nan
126410,nan
1267,5.0
126792,nan
127,nan
127124,nan
128,393.0
128869,nan
129607,7.0
129642,nan
129807,nan
13,nan
130,nan
130013,nan
130367,nan
130752,nan
131,8.0
1312,98.0
131669,nan
132,206.0
132158,nan
1327,14.0
132789,12.0
1329,8.0
1337,nan
1339,nan
1340,47.0
1345,nan
134526,nan
1346,nan
1347,6.0
1349,3.0
1350,nan
1351,nan
135152,nan
1356,173.0
1357,nan
1358,nan
1371,7.0
1373,nan
1374,0.1
1375,nan
1376,11.0
137872,nan
137964,nan
1384,63.0
140679,nan
140838,nan
142680,nan
1431,868.0
144193,nan
144195,nan
145226,nan
146712,nan
1468,1.0
1491,nan
15,nan
