GENE,PPM
100,78.0
10005,2.0
10007,29.0
100137049,nan
10020,nan
10026,2.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,2.0
10090,nan
10135,3.0
10157,nan
10164,nan
10165,1.0
10166,nan
10195,nan
10201,nan
10229,2.0
10246,nan
10249,nan
10257,nan
102724197,nan
102724560,nan
10312,2.0
10317,nan
10327,79.0
10331,nan
1036,13.0
10380,11.0
10390,nan
10396,0.13
1040,nan
10400,nan
10402,0.22
10423,162.0
10449,138.0
10455,2.0
10476,164.0
10478,nan
10554,3.0
10555,nan
10558,2.0
10559,nan
1056,nan
10560,nan
10568,nan
10587,3.0
10588,1.0
10599,nan
10606,44.0
10610,nan
10632,212.0
10654,10.0
10678,nan
10682,548.0
10690,nan
107,nan
10720,nan
10723,0.2
10724,3.0
10728,287.0
10768,2.0
10786,nan
10797,nan
108,nan
10840,nan
10841,nan
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,nan
109,nan
10901,11.0
10905,0.17
10919,0.19
10935,171.0
10948,0.57
10965,nan
10975,nan
10991,nan
10993,nan
10998,nan
10999,0.29
11000,3.0
11001,nan
1103,nan
11041,nan
11046,nan
1109,nan
111,nan
11112,17.0
11136,nan
11164,65.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,nan
112,nan
1120,6.0
11212,21.0
11226,nan
11227,nan
11238,4.0
112483,nan
11253,0.71
11254,nan
112611,nan
112724,3.0
11282,nan
11283,nan
11285,nan
113,0.53
113026,nan
11309,nan
113189,nan
11320,nan
113235,nan
113278,nan
11332,3.0
11343,nan
113451,0.39
113675,nan
114,nan
114112,nan
114134,nan
114805,nan
114971,0.66
115,nan
115019,nan
115111,nan
1152,nan
115286,nan
115584,nan
1158,nan
1159,nan
1160,nan
116255,nan
116285,nan
116369,51.0
117247,nan
117248,nan
117283,nan
1178,nan
118881,5.0
12,137.0
1200,283.0
120103,nan
121260,12.0
121278,nan
1215,nan
122481,nan
122622,nan
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,nan
124583,nan
124637,nan
124935,nan
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,23.0
126410,nan
1267,11.0
126792,nan
127,nan
127124,nan
128,78.0
128869,0.97
129607,0.69
129642,nan
129807,nan
13,nan
130,nan
130013,nan
130367,nan
130752,nan
131,106.0
1312,48.0
131669,nan
132,9.0
132158,nan
1327,206.0
132789,12.0
1329,180.0
1337,5.0
1339,nan
1340,246.0
1345,108.0
134526,nan
1346,nan
1347,59.0
1349,16.0
1350,33.0
1351,nan
135152,nan
1356,nan
1357,nan
1358,nan
1371,5.0
1373,nan
1374,11.0
1375,nan
1376,2.0
137872,nan
137964,nan
1384,0.66
140679,nan
140838,0.36
142680,nan
1431,240.0
144193,nan
144195,nan
145226,nan
146712,nan
1468,0.69
1491,nan
15,nan
1503,16.0
150763,nan
151531,nan
153201,nan
1537,71.0
154091,nan
1543,nan
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
