GENE,PPM
100,197.0
10005,nan
10007,476.0
100137049,nan
10020,2.0
10026,1.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,1.0
10090,nan
10135,174.0
10157,0.6
10164,nan
10165,nan
10166,nan
10195,nan
10201,nan
10229,0.62
10246,nan
10249,nan
10257,2.0
102724197,nan
102724560,nan
10312,2.0
10317,nan
10327,749.0
10331,nan
1036,nan
10380,33.0
10390,nan
10396,nan
1040,nan
10400,nan
10402,nan
10423,1.0
10449,346.0
10455,21.0
10476,65.0
10478,nan
10554,nan
10555,nan
10558,6.0
10559,nan
1056,nan
10560,nan
10568,nan
10587,8.0
10588,7.0
10599,nan
10606,36.0
10610,nan
10632,167.0
10654,46.0
10678,nan
10682,7.0
10690,nan
107,nan
10720,nan
10723,nan
10724,3.0
10728,17.0
10768,24.0
10786,nan
10797,1.0
108,nan
10840,0.08
10841,nan
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,1.0
109,nan
10901,36.0
10905,nan
10919,0.12
10935,732.0
10948,3.0
10965,14.0
10975,nan
10991,nan
10993,nan
10998,nan
10999,nan
11000,nan
11001,nan
1103,nan
11041,nan
11046,nan
1109,nan
111,nan
11112,167.0
11136,nan
11164,130.0
1118,12.0
11181,nan
11182,nan
11185,nan
1119,nan
112,nan
1120,11.0
11212,53.0
11226,nan
11227,nan
11238,4.0
112483,nan
11253,1.0
11254,nan
112611,nan
112724,8.0
11282,nan
11283,nan
11285,nan
113,nan
113026,nan
11309,nan
113189,nan
11320,nan
113235,1.0
113278,nan
11332,17.0
11343,35.0
113451,nan
113675,1.0
114,nan
114112,nan
114134,nan
114805,nan
114971,nan
115,nan
115019,nan
115111,nan
1152,57.0
115286,nan
115584,nan
1158,nan
1159,nan
1160,0.46
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,101.0
118881,nan
12,560.0
1200,132.0
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
