GENE,PPM
100,nan
10005,35.0
10007,97.0
100137049,nan
10020,nan
10026,14.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,nan
10090,nan
10135,1468.0
10157,nan
10164,nan
10165,537.0
10166,77.0
10195,38.0
10201,90.0
10229,78.0
10246,nan
10249,nan
10257,13.0
102724197,nan
102724560,nan
10312,nan
10317,nan
10327,121.0
10331,nan
1036,nan
10380,151.0
10390,14.0
10396,nan
1040,nan
10400,nan
10402,nan
10423,107.0
10449,392.0
10455,87.0
10476,1094.0
10478,37.0
10554,nan
10555,nan
10558,108.0
10559,17.0
1056,nan
10560,nan
10568,nan
10587,11.0
10588,27.0
10599,nan
10606,644.0
10610,nan
10632,3042.0
10654,287.0
10678,nan
10682,408.0
10690,nan
107,nan
10720,nan
10723,11.0
10724,74.0
10728,1251.0
10768,54.0
10786,nan
10797,467.0
108,nan
10840,nan
10841,nan
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,nan
109,nan
10901,278.0
10905,nan
10919,nan
10935,1689.0
10948,nan
10965,nan
10975,nan
10991,nan
10993,nan
10998,nan
10999,35.0
11000,8.0
11001,18.0
1103,nan
11041,nan
11046,nan
1109,nan
111,5.0
11112,233.0
11136,nan
11164,338.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,nan
112,nan
1120,nan
11212,21.0
11226,nan
11227,nan
11238,nan
112483,nan
11253,71.0
11254,nan
112611,nan
112724,123.0
11282,10.0
11283,nan
11285,17.0
113,nan
113026,nan
11309,nan
113189,59.0
11320,nan
113235,nan
113278,nan
11332,121.0
11343,nan
113451,nan
113675,nan
114,nan
114112,nan
114134,nan
114805,nan
114971,111.0
115,nan
115019,nan
115111,nan
1152,119.0
115286,nan
115584,nan
1158,nan
1159,20.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,88.0
12,nan
1200,nan
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,nan
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,58.0
124583,14.0
124637,nan
124935,nan
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,511.0
126410,nan
1267,133.0
126792,nan
127,nan
127124,nan
128,48.0
128869,76.0
129607,nan
129642,nan
129807,nan
13,nan
130,nan
130013,nan
130367,nan
130752,nan
131,nan
1312,210.0
131669,nan
132,16.0
132158,nan
1327,1517.0
132789,20.0
1329,1246.0
1337,nan
1339,nan
1340,4279.0
1345,3239.0
134526,nan
1346,nan
1347,1749.0
1349,69.0
1350,nan
1351,834.0
135152,nan
1356,nan
1357,nan
1358,nan
1371,76.0
1373,2724.0
1374,93.0
1375,nan
1376,120.0
137872,nan
137964,nan
1384,54.0
140679,nan
140838,nan
142680,nan
1431,526.0
144193,nan
144195,90.0
145226,nan
146712,16.0
1468,222.0
1491,14.0
15,nan
1503,114.0
150763,nan
151531,nan
153201,nan
1537,446.0
154091,nan
1543,nan
1544,nan
1545,10.0
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,nan
1576,nan
1577,nan
1579,nan
158,115.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,164.0
1591,nan
1592,nan
1593,nan
1594,nan
1595,211.0
159963,nan
160287,nan
1603,3287.0
160428,50.0
1606,nan
1607,nan
160728,nan
1608,nan
160851,nan
1609,nan
1610,nan
1621,nan
1622,1196.0
162417,nan
162466,nan
1629,nan
1632,270.0
1633,62.0
1635,63.0
1636,nan
1638,nan
1644,nan
1645,1701.0
1650,274.0
166012,nan
1666,158.0
166785,nan
169355,nan
170712,nan
171425,nan
1716,nan
1717,nan
1718,21.0
1719,88.0
1723,74.0
1727,369.0
1737,nan
1738,490.0
1743,143.0
175,51.0
1757,nan
178,nan
1786,231.0
1787,nan
1788,nan
1789,13.0
1798,27.0
18,nan
1800,nan
1806,nan
1807,nan
1808,203.0
1809,41.0
1811,nan
1836,nan
1841,557.0
1854,833.0
189,nan
1890,25.0
1891,194.0
1892,705.0
19,nan
191,556.0
192134,15.0
195814,nan
1962,8.0
196743,nan
196883,nan
197257,nan
197258,nan
199974,nan
200010,nan
200576,nan
201288,nan
2023,8093.0
2026,13.0
2027,188.0
203,760.0
2030,13.0
204,1361.0
205,475.0
2052,1050.0
2053,nan
206358,nan
2098,141.0
210,nan
2108,631.0
2109,1180.0
211,27.0
2110,65.0
212,nan
213,27.0
2131,nan
2132,nan
2134,nan
2135,nan
2137,nan
2147,nan
215,8.0
216,438.0
2168,nan
217,336.0
218,514.0
2180,32.0
2181,707.0
2182,351.0
2184,259.0
219,110.0
2194,1613.0
220,nan
2203,nan
221,12.0
221823,18.0
222,nan
2222,nan
2224,196.0
222537,nan
223,270.0
2235,26.0
224,230.0
2243,nan
225,nan
226,3575.0
2271,752.0
22856,nan
229,nan
22928,nan
22929,74.0
22934,76.0
22978,49.0
230,160.0
23007,nan
23057,nan
231,652.0
23169,nan
23205,nan
23236,5.0
2326,nan
2327,nan
2328,nan
2329,nan
2330,nan
23305,nan
23315,nan
23382,nan
23396,nan
23417,nan
23428,nan
23430,nan
23439,nan
23443,nan
23464,nan
23475,nan
23478,643.0
2348,nan
23483,nan
23498,nan
2350,nan
2352,nan
23530,183.0
23533,nan
23539,nan
23545,nan
23556,nan
2356,nan
23563,nan
23600,nan
23632,nan
23657,68.0
23743,nan
23761,27.0
239,nan
240,nan
242,nan
245972,nan
245973,nan
246,nan
246213,nan
247,nan
248,nan
249,nan
2495,30.0
250,nan
251,nan
2512,221.0
2517,nan
2519,nan
2523,nan
2525,nan
2530,nan
2531,17.0
253430,nan
2538,nan
2539,1664.0
2542,14.0
2548,60.0
256435,nan
257068,nan
2571,nan
2572,nan
257202,nan
25769,nan
25796,69.0
2581,8.0
2582,66.0
25828,241.0
2583,11.0
25830,nan
2584,nan
2585,nan
2588,nan
2589,nan
2590,273.0
25902,245.0
2591,9.0
2592,nan
259230,nan
2593,nan
2595,nan
2597,8432.0
26,nan
26002,nan
260293,nan
26035,36.0
26061,nan
26062,nan
26063,21.0
2618,399.0
262,nan
26227,390.0
26229,nan
26266,nan
26275,145.0
26279,nan
2628,nan
26289,nan
2629,85.0
26290,nan
26301,nan
2632,102.0
26330,28.0
2638,nan
2639,nan
2643,nan
2645,nan
2650,nan
26503,nan
2651,nan
2653,67.0
266722,nan
267020,nan
2673,241.0
2678,21.0
2679,nan
2683,nan
2686,nan
2687,nan
26873,nan
2694,nan
270,nan
27010,nan
27034,nan
27068,317.0
27087,nan
27089,1212.0
271,6.0
2710,nan
27109,76.0
27115,nan
2712,nan
27124,nan
2713,nan
27159,nan
27165,nan
2717,78.0
272,nan
2720,42.0
27232,nan
27235,nan
2729,156.0
2730,206.0
27306,nan
2731,6.0
27349,nan
2739,487.0
27430,151.0
2744,206.0
2745,751.0
2746,329.0
2747,nan
275,nan
2752,nan
276,nan
2762,nan
2766,nan
277,nan
278,nan
279,nan
2799,102.0
28,nan
280,nan
2805,273.0
2806,1490.0
2819,nan
2820,735.0
2821,811.0
28231,nan
28232,nan
28234,nan
283871,93.0
284098,nan
284111,nan
284129,nan
284273,16.0
286016,nan
286297,nan
2875,nan
2876,nan
2877,nan
2878,nan
2879,nan
2880,nan
2882,nan
28965,nan
28972,35.0
28976,138.0
28982,63.0
290,nan
291,38.0
29124,nan
292,5290.0
293,1211.0
2936,281.0
2937,97.0
2944,590.0
2954,nan
2974,nan
2977,nan
2978,nan
29785,nan
29796,865.0
2982,nan
2983,nan
2984,nan
2986,nan
2987,291.0
29880,68.0
29881,nan
2990,8.0
29906,nan
2992,nan
29920,451.0
29922,nan
29925,16.0
29926,41.0
29929,nan
29953,nan
29958,nan
29968,610.0
2997,nan
2998,nan
29988,nan
30,57.0
3000,nan
30061,nan
3028,2066.0
3029,37.0
3030,632.0
3032,173.0
3033,424.0
3034,nan
3036,nan
3037,nan
3038,nan
3067,nan
3073,10.0
3074,160.0
3081,nan
30814,nan
30815,nan
30833,108.0
3098,339.0
3099,49.0
31,102.0
3101,nan
314,nan
3141,nan
3145,16.0
3155,55.0
3156,nan
3157,44.0
3158,nan
316,nan
3162,250.0
3163,123.0
3176,nan
3177,nan
318,113.0
32,nan
3242,nan
3251,771.0
3283,nan
3284,nan
3290,nan
3291,nan
3292,nan
3293,nan
3294,nan
3295,634.0
33,nan
3340,nan
335,nan
337876,nan
338,4.0
339221,nan
34,258.0
340024,nan
341,nan
3417,664.0
3418,286.0
3419,575.0
341947,nan
3420,180.0
3421,118.0
3422,192.0
3423,nan
3425,nan
343,nan
344,nan
345,nan
347734,160.0
348,nan
349565,nan
35,nan
353,741.0
358,nan
359,nan
36,93.0
361,nan
3612,42.0
3613,20.0
3614,68.0
3615,736.0
362,nan
3620,14.0
3628,nan
3631,nan
3632,nan
3633,nan
3635,nan
3636,nan
3658,nan
366,nan
37,503.0
3704,265.0
3706,nan
3707,nan
3712,55.0
373156,570.0
374291,80.0
374569,nan
374907,nan
375056,53.0
3764,nan
376497,nan
3767,nan
377677,nan
377841,nan
3795,nan
38,727.0
383,nan
384,nan
386757,nan
387775,nan
387893,nan
389015,nan
39,46.0
3906,nan
3931,nan
3938,nan
3939,1378.0
3945,1156.0
