GENE,PPM
100,nan
10005,2.0
10007,120.0
100137049,nan
10020,0.23
10026,0.98
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,0.45
10090,nan
10135,5.0
10157,2.0
10164,nan
10165,71.0
10166,0.91
10195,0.09
10201,4.0
10229,11.0
10246,nan
10249,729.0
10257,0.24
102724197,nan
102724560,nan
10312,nan
10317,nan
10327,1086.0
10331,nan
1036,8.0
10380,47.0
10390,1.0
10396,nan
1040,nan
10400,4.0
10402,nan
10423,12.0
10449,1933.0
10455,83.0
10476,613.0
10478,nan
10554,1.0
10555,nan
10558,2.0
10559,nan
1056,nan
10560,nan
10568,nan
10587,14.0
10588,6.0
10599,nan
10606,20.0
10610,nan
10632,741.0
10654,8.0
10678,nan
10682,47.0
10690,nan
107,nan
10720,nan
10723,0.28
10724,1.0
10728,71.0
10768,18.0
10786,2.0
10797,nan
108,nan
10840,155.0
10841,163.0
10846,nan
10858,nan
10861,3.0
10864,nan
10870,nan
10873,0.55
109,nan
10901,223.0
10905,nan
10919,nan
10935,1601.0
10948,nan
10965,96.0
10975,35.0
10991,nan
10993,nan
10998,nan
10999,nan
11000,0.29
11001,61.0
1103,nan
11041,nan
11046,nan
1109,3.0
111,nan
11112,412.0
11136,3.0
11164,28.0
1118,2.0
11181,1.0
11182,nan
11185,nan
1119,nan
112,nan
1120,0.97
11212,19.0
11226,nan
11227,nan
11238,4.0
112483,41.0
11253,nan
11254,nan
112611,nan
112724,10.0
11282,nan
11283,nan
11285,nan
113,nan
113026,nan
11309,nan
113189,nan
11320,nan
113235,nan
113278,nan
11332,6.0
11343,16.0
113451,nan
113675,17.0
114,nan
114112,nan
114134,nan
114805,nan
114971,10.0
115,nan
115019,nan
115111,nan
1152,174.0
115286,nan
115584,nan
1158,nan
1159,2.0
1160,2.0
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,8.0
12,428.0
1200,199.0
120103,nan
121260,nan
121278,nan
1215,1.0
122481,nan
122622,2.0
122970,nan
123041,nan
123099,nan
123745,nan
124,24.0
1244,0.74
124583,nan
124637,nan
124935,2.0
124975,nan
125,1155.0
125061,7.0
125206,19.0
125965,nan
126,65.0
126129,nan
126328,78.0
126410,nan
1267,62.0
126792,nan
127,36.0
127124,9.0
128,408.0
128869,nan
129607,nan
129642,nan
129807,nan
13,nan
130,117.0
130013,6.0
130367,nan
130752,nan
131,2.0
1312,31.0
131669,nan
132,25.0
132158,3.0
1327,455.0
132789,3.0
1329,165.0
1337,92.0
1339,nan
1340,110.0
1345,324.0
134526,nan
1346,11.0
1347,176.0
1349,306.0
1350,104.0
1351,111.0
135152,nan
1356,105.0
1357,nan
1358,nan
1371,0.45
1373,5.0
1374,18.0
1375,0.16
1376,53.0
137872,6.0
137964,nan
1384,41.0
140679,nan
140838,nan
142680,5.0
1431,377.0
144193,3.0
144195,nan
145226,9.0
146712,nan
1468,142.0
1491,12.0
15,nan
1503,0.89
150763,nan
151531,nan
153201,15.0
1537,129.0
154091,nan
1543,nan
1544,5.0
1545,0.77
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,2.0
1576,nan
1577,nan
1579,79.0
158,5.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,14.0
1588,nan
1589,nan
159,6.0
1591,nan
1592,nan
1593,21.0
1594,nan
1595,1.0
159963,55.0
160287,nan
1603,73.0
160428,nan
1606,nan
1607,nan
160728,nan
1608,nan
160851,nan
1609,nan
1610,86.0
1621,0.29
1622,200.0
162417,nan
162466,nan
1629,36.0
1632,360.0
1633,nan
1635,8.0
1636,10.0
1638,nan
1644,556.0
1645,79.0
1650,46.0
166012,nan
1666,768.0
166785,7.0
169355,nan
170712,nan
171425,61.0
1716,5.0
1717,0.72
1718,nan
1719,nan
1723,26.0
1727,362.0
1737,32.0
1738,499.0
1743,290.0
175,3.0
1757,19.0
178,3.0
1786,nan
1787,nan
1788,nan
1789,nan
1798,0.97
18,506.0
1800,479.0
