GENE,PPM
100,4.0
10005,1.0
10007,21.0
100137049,nan
10020,3.0
10026,6.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,1.0
10090,nan
10135,11.0
10157,2.0
10164,nan
10165,59.0
10166,2.0
10195,4.0
10201,0.84
10229,4.0
10246,nan
10249,nan
10257,0.47
102724197,nan
102724560,nan
10312,3.0
10317,nan
10327,102.0
10331,0.04
1036,5.0
10380,15.0
10390,14.0
10396,0.1
1040,5.0
10400,12.0
10402,8.0
10423,21.0
10449,126.0
10455,16.0
10476,255.0
10478,0.98
10554,4.0
10555,nan
10558,40.0
10559,nan
1056,nan
10560,3.0
10568,nan
10587,9.0
10588,1.0
10599,nan
10606,63.0
10610,2.0
10632,335.0
10654,3.0
10678,nan
10682,32.0
10690,nan
107,nan
10720,nan
10723,0.11
10724,1.0
10728,55.0
10768,8.0
10786,nan
10797,nan
108,nan
10840,nan
10841,nan
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,0.19
109,0.45
10901,9.0
10905,21.0
10919,0.73
10935,578.0
10948,2.0
10965,2.0
10975,2.0
10991,nan
10993,nan
10998,nan
10999,5.0
11000,5.0
11001,11.0
1103,5.0
11041,0.15
11046,nan
1109,nan
111,0.21
11112,253.0
11136,nan
11164,27.0
1118,nan
11181,nan
11182,nan
11185,0.11
1119,0.05
112,2.0
1120,0.85
11212,8.0
11226,4.0
11227,0.13
11238,0.33
112483,0.1
11253,3.0
11254,nan
112611,nan
112724,81.0
11282,0.36
11283,nan
11285,3.0
113,1.0
113026,4.0
11309,1.0
113189,2.0
11320,0.75
113235,4.0
113278,nan
11332,24.0
11343,7.0
113451,nan
113675,0.52
114,nan
114112,nan
114134,0.47
114805,nan
114971,4.0
115,0.29
115019,nan
115111,nan
1152,9.0
115286,0.24
115584,nan
1158,40.0
1159,136.0
1160,nan
116255,nan
116285,3.0
116369,nan
117247,2.0
117248,nan
117283,nan
1178,nan
118881,4.0
12,214.0
1200,355.0
120103,nan
121260,0.44
121278,nan
1215,nan
122481,nan
122622,1.0
122970,0.89
123041,nan
123099,nan
123745,nan
124,nan
1244,nan
124583,3.0
124637,nan
124935,17.0
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,16.0
126410,nan
1267,19.0
126792,0.46
127,nan
127124,nan
128,73.0
128869,2.0
129607,0.97
129642,0.05
129807,nan
13,nan
130,nan
130013,nan
130367,nan
130752,nan
131,nan
1312,129.0
131669,nan
132,8.0
132158,nan
1327,300.0
132789,0.34
1329,234.0
1337,128.0
1339,nan
1340,81.0
1345,99.0
134526,nan
1346,2.0
1347,194.0
1349,111.0
1350,72.0
1351,2.0
135152,nan
1356,67.0
1357,nan
1358,nan
1371,40.0
1373,4.0
1374,7.0
1375,0.31
1376,51.0
137872,0.32
137964,nan
1384,6.0
140679,nan
140838,nan
142680,nan
1431,226.0
144193,nan
144195,nan
145226,nan
146712,nan
1468,2.0
1491,nan
15,nan
1503,3.0
150763,nan
151531,nan
153201,nan
1537,89.0
154091,nan
1543,nan
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
