GENE,PPM
100,4.0
10005,13.0
10007,136.0
100137049,nan
10020,2.0
10026,2.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,11.0
10090,nan
10135,88.0
10157,2.0
10164,nan
10165,37.0
10166,nan
10195,0.07
10201,nan
10229,19.0
10246,nan
10249,nan
10257,nan
102724197,nan
102724560,nan
10312,7.0
10317,nan
10327,1695.0
10331,nan
1036,83.0
10380,36.0
10390,0.7
10396,0.83
1040,nan
10400,5.0
10402,nan
10423,79.0
10449,399.0
10455,23.0
10476,113.0
10478,4.0
10554,9.0
10555,nan
10558,3.0
10559,nan
1056,nan
10560,nan
10568,1.0
10587,34.0
10588,1.0
10599,nan
10606,41.0
10610,nan
10632,87.0
10654,38.0
10678,nan
10682,846.0
10690,nan
107,nan
10720,nan
10723,22.0
10724,0.42
10728,178.0
10768,4.0
10786,nan
10797,nan
108,nan
10840,16.0
10841,nan
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,1.0
109,nan
10901,72.0
10905,4.0
10919,nan
10935,3689.0
10948,0.14
10965,33.0
10975,nan
10991,nan
10993,nan
10998,nan
10999,0.08
11000,nan
11001,4.0
1103,nan
11041,6.0
11046,nan
1109,nan
111,nan
11112,858.0
11136,nan
11164,77.0
1118,nan
11181,nan
11182,nan
11185,40.0
1119,0.69
112,nan
1120,2.0
11212,64.0
11226,nan
11227,nan
11238,nan
112483,25.0
11253,1.0
11254,nan
112611,nan
112724,30.0
11282,nan
11283,nan
11285,12.0
113,nan
113026,1.0
11309,nan
113189,nan
11320,nan
113235,1.0
113278,nan
11332,5.0
11343,9.0
113451,0.85
113675,25.0
114,nan
114112,nan
114134,65.0
114805,nan
114971,12.0
115,nan
115019,nan
115111,nan
1152,275.0
115286,nan
115584,nan
1158,1.0
1159,3.0
1160,11.0
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,6.0
12,1322.0
1200,1086.0
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,nan
122970,nan
123041,nan
123099,nan
123745,nan
124,59.0
1244,nan
124583,nan
124637,nan
124935,nan
124975,nan
125,4073.0
125061,nan
125206,nan
125965,nan
126,27.0
126129,nan
126328,15.0
126410,nan
1267,32.0
126792,nan
127,11.0
127124,nan
128,224.0
128869,4.0
129607,53.0
129642,nan
129807,nan
13,120.0
130,nan
130013,nan
130367,nan
130752,nan
131,nan
1312,130.0
131669,nan
132,12.0
132158,nan
1327,44.0
132789,26.0
1329,78.0
1337,84.0
1339,nan
1340,3.0
1345,30.0
134526,nan
1346,nan
1347,nan
1349,nan
1350,93.0
1351,nan
135152,nan
1356,171.0
1357,nan
1358,nan
1371,17.0
1373,0.23
1374,22.0
1375,0.78
1376,41.0
137872,nan
137964,nan
1384,23.0
140679,nan
140838,63.0
142680,1.0
1431,758.0
144193,10.0
144195,nan
145226,nan
146712,nan
1468,3.0
1491,2.0
15,nan
1503,6.0
150763,nan
151531,nan
153201,nan
1537,101.0
154091,nan
1543,nan
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,nan
1576,nan
1577,0.99
1579,nan
158,5.0
1580,nan
1581,nan
1582,nan
1583,1656.0
1584,4944.0
1585,41.0
1586,1904.0
1588,1.0
1589,4330.0
159,9.0
1591,nan
1592,nan
1593,12.0
1594,nan
1595,119.0
159963,nan
160287,nan
1603,67.0
160428,0.45
1606,0.84
1607,nan
160728,nan
1608,nan
160851,nan
1609,nan
1610,nan
1621,89.0
1622,18.0
162417,nan
162466,nan
1629,41.0
1632,130.0
1633,3.0
1635,19.0
1636,0.46
1638,nan
1644,13.0
1645,nan
1650,114.0
166012,nan
1666,1546.0
166785,8.0
169355,nan
170712,nan
171425,16.0
1716,7.0
1717,146.0
1718,417.0
1719,nan
1723,8.0
1727,1362.0
1737,19.0
1738,335.0
1743,182.0
175,8.0
1757,nan
178,3.0
1786,0.04
1787,nan
1788,nan
1789,nan
1798,0.81
18,12.0
1800,nan
1806,4.0
1807,nan
1808,157.0
1809,18.0
1811,nan
1836,0.12
1841,29.0
1854,14.0
189,nan
1890,27.0
1891,902.0
1892,98.0
19,0.49
191,186.0
192134,nan
195814,nan
1962,1.0
196743,nan
196883,nan
197257,1.0
197258,3.0
199974,nan
200010,nan
200576,nan
201288,nan
2023,2000.0
2026,138.0
2027,nan
203,349.0
2030,1.0
204,202.0
205,3.0
2052,6900.0
2053,20.0
206358,nan
2098,256.0
210,547.0
2108,1029.0
2109,1068.0
211,3.0
2110,123.0
212,nan
213,28726.0
2131,nan
2132,nan
2134,nan
2135,nan
2137,nan
2147,61.0
215,43.0
216,1264.0
2168,119.0
217,901.0
218,nan
2180,55.0
2181,50.0
2182,15.0
2184,195.0
219,2.0
2194,133.0
220,17.0
2203,57.0
221,18.0
221823,nan
222,nan
2222,105.0
2224,515.0
222537,nan
223,342.0
2235,26.0
224,756.0
2243,480.0
225,nan
226,2740.0
2271,394.0
22856,nan
229,143.0
22928,6.0
22929,11.0
22934,4.0
22978,12.0
230,120.0
23007,1.0
23057,nan
231,5079.0
23169,nan
23205,nan
23236,0.12
2326,0.42
2327,nan
2328,0.45
2329,nan
2330,nan
23305,0.41
23315,nan
23382,8.0
23396,nan
23417,3.0
23428,nan
23430,nan
23439,nan
23443,nan
23464,nan
23475,155.0
23478,42.0
2348,nan
23483,nan
23498,7.0
2350,5.0
2352,nan
23530,18.0
23533,nan
23539,nan
23545,nan
23556,nan
2356,2.0
23563,nan
23600,3.0
23632,nan
23657,nan
23743,nan
23761,0.85
239,3.0
240,0.43
242,nan
245972,4.0
245973,nan
246,nan
246213,nan
247,nan
248,nan
249,84.0
2495,193.0
250,nan
251,nan
2512,384.0
2517,20.0
2519,12.0
2523,nan
2525,nan
2530,nan
2531,31.0
253430,nan
2538,nan
2539,109.0
2542,nan
2548,47.0
256435,nan
257068,nan
2571,nan
2572,nan
257202,nan
25769,nan
25796,170.0
2581,3.0
2582,13.0
25828,70.0
2583,nan
25830,nan
2584,17.0
2585,23.0
2588,4.0
2589,nan
2590,3.0
25902,6.0
2591,nan
2592,14.0
259230,nan
2593,22.0
2595,nan
2597,6538.0
26,nan
26002,3.0
260293,nan
26035,nan
26061,nan
26062,nan
26063,15.0
2618,20.0
262,nan
26227,5.0
26229,3.0
26266,nan
26275,457.0
26279,nan
2628,23.0
26289,nan
2629,5.0
26290,nan
26301,nan
2632,117.0
26330,nan
2638,80.0
2639,16.0
2643,3.0
2645,nan
2650,nan
26503,nan
2651,nan
2653,39.0
266722,nan
267020,nan
2673,8.0
2678,nan
2679,nan
2683,nan
2686,0.23
2687,157.0
26873,11.0
2694,nan
270,nan
27010,2.0
27034,8.0
27068,184.0
27087,nan
27089,47.0
271,14.0
2710,nan
27109,14.0
27115,nan
2712,nan
27124,nan
2713,nan
27159,nan
27165,0.72
2717,36.0
