GENE,PPM
100,nan
10005,nan
10007,116.0
100137049,nan
10020,nan
10026,nan
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,nan
10090,nan
10135,2.0
10157,nan
10164,nan
10165,50.0
10166,nan
10195,nan
10201,nan
10229,nan
10246,nan
10249,nan
10257,nan
102724197,nan
102724560,nan
10312,nan
10317,nan
10327,209.0
10331,nan
1036,nan
10380,6.0
10390,nan
10396,102.0
1040,nan
10400,nan
10402,nan
10423,14.0
10449,110.0
10455,8.0
10476,771.0
10478,nan
10554,nan
10555,0.01
10558,nan
10559,nan
1056,nan
10560,nan
10568,nan
10587,2.0
10588,nan
10599,nan
10606,24.0
10610,nan
10632,1240.0
10654,20.0
10678,nan
10682,nan
10690,nan
107,nan
10720,nan
10723,5.0
10724,7.0
10728,91.0
10768,69.0
10786,nan
10797,nan
108,nan
10840,91.0
10841,nan
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,177.0
109,nan
10901,14.0
10905,nan
10919,nan
10935,1092.0
10948,nan
10965,nan
10975,nan
10991,nan
10993,nan
10998,nan
10999,nan
11000,nan
11001,nan
1103,nan
11041,0.06
11046,nan
1109,2.0
111,8.0
11112,98.0
11136,nan
11164,33.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,nan
112,nan
1120,nan
11212,70.0
11226,nan
11227,nan
11238,nan
112483,nan
11253,nan
11254,nan
112611,0.01
112724,18.0
11282,nan
11283,nan
11285,nan
113,nan
113026,25.0
11309,nan
113189,nan
11320,nan
113235,nan
113278,nan
11332,472.0
11343,110.0
113451,nan
113675,nan
114,nan
114112,nan
114134,nan
114805,nan
114971,6.0
115,0.15
115019,nan
115111,nan
1152,8194.0
115286,nan
115584,nan
1158,146.0
1159,674.0
1160,108.0
116255,nan
116285,nan
116369,nan
117247,0.54
117248,nan
117283,nan
1178,nan
118881,15.0
12,13.0
1200,140.0
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,nan
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,nan
124583,nan
124637,nan
124935,nan
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,65.0
126410,nan
1267,7396.0
126792,nan
127,nan
127124,nan
128,44.0
128869,nan
129607,nan
129642,nan
129807,nan
13,nan
130,nan
130013,nan
130367,nan
130752,nan
131,nan
1312,56.0
131669,nan
132,0.01
132158,nan
1327,807.0
132789,75.0
1329,592.0
1337,221.0
1339,nan
1340,776.0
1345,nan
134526,nan
1346,nan
1347,335.0
1349,nan
1350,nan
1351,nan
135152,nan
1356,14.0
1357,nan
1358,nan
1371,nan
1373,nan
1374,2.0
1375,nan
1376,5.0
137872,nan
137964,nan
1384,58.0
140679,nan
140838,nan
142680,nan
1431,425.0
144193,nan
144195,4.0
145226,nan
146712,nan
1468,nan
1491,nan
15,nan
1503,1.0
150763,0.03
151531,nan
153201,0.24
1537,719.0
154091,nan
1543,nan
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,nan
1576,0.4
1577,nan
1579,nan
158,nan
1580,0.12
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,11.0
1591,0.01
1592,nan
1593,nan
1594,nan
1595,nan
159963,nan
160287,63.0
1603,nan
160428,0.25
1606,nan
1607,6.0
160728,nan
1608,nan
160851,nan
1609,nan
1610,nan
1621,0.04
1622,2248.0
162417,nan
162466,nan
1629,52.0
1632,21.0
1633,nan
1635,nan
1636,nan
1638,nan
1644,nan
1645,15.0
1650,nan
166012,nan
1666,170.0
166785,2.0
169355,nan
170712,nan
171425,12.0
1716,nan
1717,nan
1718,nan
1719,nan
1723,nan
1727,516.0
1737,159.0
1738,453.0
1743,294.0
175,nan
1757,nan
178,11.0
1786,nan
1787,nan
1788,nan
1789,nan
1798,nan
18,262.0
1800,nan
1806,nan
1807,18.0
1808,6127.0
1809,910.0
1811,nan
1836,nan
1841,5.0
1854,58.0
189,nan
1890,nan
1891,285.0
1892,623.0
19,nan
191,142.0
192134,nan
195814,nan
1962,nan
196743,nan
196883,nan
197257,nan
197258,nan
199974,nan
200010,nan
200576,nan
201288,nan
2023,5369.0
2026,4246.0
2027,2081.0
203,1141.0
2030,nan
204,4.0
205,132.0
2052,17.0
2053,3.0
206358,nan
2098,355.0
210,141.0
2108,684.0
2109,44.0
211,nan
2110,32.0
212,nan
213,9025.0
2131,nan
2132,nan
2134,nan
2135,nan
2137,nan
2147,0.95
215,nan
216,47.0
2168,nan
217,405.0
218,0.81
2180,3.0
2181,6.0
2182,2.0
2184,1.0
219,0.62
2194,47.0
220,0.58
2203,nan
221,0.73
221823,44.0
222,0.76
2222,nan
2224,19.0
222537,nan
223,159.0
2235,53.0
224,0.73
2243,53.0
225,nan
226,5840.0
2271,448.0
22856,nan
229,41.0
22928,nan
22929,nan
22934,nan
22978,0.14
230,3154.0
23007,nan
23057,0.68
231,265.0
23169,nan
23205,nan
23236,104.0
2326,nan
2327,nan
2328,0.27
2329,nan
2330,nan
23305,26.0
23315,nan
23382,56.0
23396,4.0
23417,nan
23428,nan
23430,nan
23439,nan
23443,nan
23464,nan
23475,nan
23478,3.0
2348,nan
23483,nan
23498,nan
2350,nan
2352,nan
23530,151.0
23533,nan
23539,nan
23545,0.41
23556,nan
2356,nan
23563,nan
23600,nan
23632,nan
23657,nan
23743,nan
23761,5.0
239,nan
240,nan
242,nan
245972,nan
245973,4.0
246,nan
246213,nan
247,nan
248,nan
249,nan
2495,1524.0
250,nan
251,nan
2512,2123.0
2517,nan
2519,nan
2523,nan
2525,nan
2530,nan
2531,nan
253430,nan
2538,nan
2539,3.0
2542,nan
