REACTION,KCAT [1/hr]
10FTHF5GLUtl,nan
10FTHF5GLUtm,nan
10FTHF6GLUtl,nan
10FTHF6GLUtm,nan
10FTHF7GLUtl,nan
10FTHF7GLUtm,nan
10FTHFtl_for,nan
10FTHFtm_for,nan
11DOCRTSLtm_for,nan
11DOCRTSLtr_for,nan
11DOCRTSTRNtm_for,nan
11DOCRTSTRNtr_for,nan
13DAMPPOX,19800
1a_24_25VITD2Hm,nan
1a_24_25VITD3Hm,nan
1a_25VITD2Hm,nan
1a_25VITD3Hm,nan
1MNCAMti,nan
1PPDCRp,nan
24_25DHVITD2t,nan
24_25DHVITD2tm,nan
24_25DHVITD3t,nan
24_25DHVITD3tm,nan
24_25VITD2Hm,nan
24_25VITD3Hm,nan
24NPHte_for,nan
25HVITD2t,nan
25HVITD2tin,nan
25HVITD2tin_m,nan
25HVITD2tm,nan
25HVITD3t,nan
25HVITD3tin,nan
25HVITD3tin_m,nan
25HVITD3tm,nan
25VITD2Hm,nan
25VITD3Hm,nan
2AMACHYD,nan
2AMACSULT,nan
2AMADPTm,nan
2DR1PP,78869.73852
2HBO_for,102384
2HBt2_for,nan
2HCO3_NAt_for,nan
2MCITt_for,nan
2OXOADOXm,7248
2OXOADPTm_for,nan
34DHOXPEGOX_for,778045.5
34DHOXPEGt_for,nan
34DHPHAMT,730.8
34DHPHEt_for,nan
34DHPLACOX,95400
34DHPLACOX_NADP__for,139680
34DHXMANDACOX,95400
34DHXMANDACOX_NADP__for,139680
34HPLFM,nan
34HPPOR,21208.5
35CGMPtn_for,nan
3AIBt,nan
3AIBTm_for,2651400
3AIBtm,nan
3DPHBH1,nan
3DPHBH2,nan
3DSPHR,25.2
3HAO,90000
3HBCDm_for,1047600
3HBCOAHLm,606000
3HKYNAKGAT,27612
3HLYTCL,252
3HPCOAHYD,606000
3HPPD_for,673710
3HXKYNDCL,nan
3HXKYNOXDA,9887.4
3M4HDXPAC_for,95400
3MLDAt_for,nan
3MOBt2im,nan
3MOPt2im,nan
3MOX4HOXPGALDOX,95400
3MOX4HOXPGALDOX_NADP__for,139680
3MOXTYROX,9887.4
3NTD7l,328725
3SALAASPm_for,nan
3SALACBOXL,14499
3SALAOX,nan
3SALATAi,640200
