Gene ID	UniProt Accession	
100	P00813; F5GWI4; Q53F92; Q6LA59; A0A0S2Z381	
10005	O15261; Q17RX4; O14734	
10007	P46926; D3DQE7; B7Z3X4	
100137049	Q8TB10; Q9UKV7; B4DRT9; P0C869; Q59GF9; Q19KD5; Q19KD6; O95712	
10020	Q0VA94; D3DRP7; H0YFA7; A6PZH3; B7Z372; Q9Y223; B7Z428; A6PZH2; A7UNU7; B2R6E1; F5H499	
10026	O14822; B2R7K3; B4E2M3; Q92643; Q5TG77	
100287639	-	
10050	A0A024R013; Q9Y2C5; B4DDV9; Q32MB8; E7EU17; Q32MB7; E7EPE8	
100507855	-	
100526794	Q96KE6; B7ZVX7; Q96DU5; Q96P26; Q53RX2; Q8NA26; B5MCR0; Q96M25; Q96SA3; Q8N9W3	
10057	Q86UX3; Q9UNP5; Q9UN85; O14517; Q9UQC3; B9EIQ2; Q29ZA9; Q86W30; O15440; Q29ZB1	
10060	A0A024RAV7; O60706; O60707	
10087	Q9Y5P4; A8K7S2; Q96Q85; Q9H2S7; Q53YV1; Q9H2S8; A0A024RAJ5; B3KUB7; Q53YV2; Q96Q88	
10090	Q9Y2C2; B2RCX6	
10135	A4D0Q9; A0A024R718; A4D0R0; Q8WW95; P43490; Q3KQV0	
10157	A4D0W4; O95462; Q9UDR5	
10164	Q9Y5R3; Q8NCG5; Q8IV46	
10165	Q546F9; Q9UJS0; O14566; O14575; Q9UNI7; Q9NZW1	
10166	Q9HC45; Q9Y619; Q5VZD8	
10195	Q92685; A8JZZ6; C9J7S5; Q9BT71	
10201	B4DM99; B4DGW7; C9JQB1; Q96E73; Q9BQ63; A0A0C4DG91; Q53HM5; O75414	
10229	Q9H0T5; Q9UNR5; Q9UEW5; B2RDA9; Q9BTT7; Q99807	
10246	A6NLD6; A0A024QZY2; O00624; Q5TB84; Q76P85; A6NK81	
10249	Q96QK7; O14833; Q6IB77	
