ec,value,chebi,kegg,pubchem,hmdb
1.8.1.7,468.00000000000006,,,68372406,
1.8.1.7,1260.0,,,12300225,
1.8.1.7,396.0,,,23525632,
1.8.1.7,173880.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,594000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,756000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,756000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,756000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,756000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,3888.000000000001,27418,C02617,8530,
1.8.1.7,576.0,78492,,16315,
1.8.1.7,8028.000000000001,,,388306,
2.4.1.133,6444.0,,,92229,
2.4.1.133,10800.0,16082,,19235,
2.4.1.133,259200.0,46229;52249,C00029,8629,
2.4.1.133,100.8,67119,,18068,HMDB00302
2.4.1.133,3996.0000000000005,67119,,18068,HMDB00302
2.4.1.133,4103.999999999999,67119,,18068,HMDB00302
2.4.1.133,5472.0,67119,,18068,HMDB00302
2.4.1.133,18309600.0,67119,,18068,HMDB00302
4.2.3.12,115.19999999999999,,C04895,121885,HMDB00980
1.8.1.9,82800.0,77012,C18902,161597,
1.8.1.9,5760.0,17460,C00248;D00048,863,HMDB00962
1.8.1.9,11880.0,17460,C00248;D00048,863,HMDB00962
1.8.1.9,57.599999999999994,,,,
1.8.1.9,20088.0,,,,
1.8.1.9,29160.0,,,,
1.8.1.9,92808.00000000001,,,,
1.8.1.9,98640.0,,,,
1.8.1.9,167652.0,,,,
1.8.1.9,6480.0,30314,C16241,6112,HMDB01451
1.8.1.9,1980.0,,,7000011,
1.8.1.9,29807.999999999996,,,7000011,
1.8.1.9,67428.0,,,7000011,
1.8.1.9,108072.0,,,7000011,
1.8.1.9,119988.0,,,7000011,
1.8.1.9,106200.0,,,7000011,
1.8.3.1,43560.0,17359,,1099,HMDB00240
1.8.3.1,61920.0,17359,,1099,HMDB00240
1.8.3.1,87120.0,17359,,1099,HMDB00240
1.8.3.1,87120.0,17359,,1099,HMDB00240
1.8.3.1,87120.0,17359,,1099,HMDB00240
1.8.3.1,88920.0,17359,,1099,HMDB00240
1.8.3.1,88920.0,17359,,1099,HMDB00240
1.8.3.1,90000.0,17359,,1099,HMDB00240
1.8.3.1,93240.0,17359,,1099,HMDB00240
1.8.3.1,93240.0,17359,,1099,HMDB00240
1.8.3.1,93240.0,17359,,1099,HMDB00240
1.8.3.1,96840.0,17359,,1099,HMDB00240
1.8.3.1,97200.0,17359,,1099,HMDB00240
1.8.3.1,65160.0,,,,
5.3.3.1,10843200.0,28689,C01227;D08409,5881,
5.3.3.1,17604000.0,28689,C01227;D08409,5881,
5.3.3.1,2005.2,83865,C20252,160531,
5.3.3.1,2988.0,83865,C20252,160531,
5.3.3.1,21888.0,83865,C20252,160531,
5.3.3.1,48960.0,83865,C20252,160531,
4.4.1.20,7596.0,16856;60836,C00051;C02471;D00014,124886;25246407,HMDB00125
4.4.1.20,7992.000000000001,16856;60836,C00051;C02471;D00014,124886;25246407,HMDB00125
4.4.1.20,42120.0,15651,C00909,5280383,HMDB01337
4.4.1.20,6083.999999999999,,,6478221,
4.4.1.20,7092.0,,,6478221,
2.7.1.48,11520.0,17562,C00475;D07769,6175,HMDB00089
2.1.1.45,15012.0,,,,
2.1.1.45,11196.0,17622,C00365,65063,HMDB01409
2.1.1.45,172800.0,17622,C00365,65063,HMDB01409
2.1.1.45,172800.0,1989,,445117,
2.6.1.7,3312.0,35932,C03465,47,HMDB00491
2.6.1.7,327600.0,17295;58095,C00079;D00021,6140;6925665,HMDB00159
2.6.1.7,234.00000000000003,,C00036,970,HMDB00223
2.6.1.7,514800.0,,C00036,970,HMDB00223
2.6.1.7,17388.0,35177,,6419709,
2.6.1.7,27612.0,30915,C00026,51,HMDB00208
2.6.1.7,514800.0,15971;57595,C00135;D00032,6274;6971009,HMDB00177
2.6.1.7,1065600.0,,C00233,70,HMDB00695
2.6.1.7,9036.0,,C00233,70,HMDB00695
2.6.1.7,5364.0,17640,,5460337,
2.6.1.7,9576.000000000002,28644,,5460364,
2.6.1.7,34560.0,17561;35235;47910;58717;61894,C00097;D00026,5862;6419722,HMDB00574
2.6.1.7,1584000.0,18050;58359,C00064;D00015,5961;6992086,HMDB00641
2.6.1.7,15372.0,16723,,4584184,
2.6.1.7,1404.0000000000002,15999,C01179,979,HMDB00707
2.6.1.7,17028.0,30851,C00166,997,HMDB00205
2.6.1.7,396000.0,30851,C00166,997,HMDB00205
2.6.1.7,155160.0,16828;57912,C00078;D00020,6305;6923516,HMDB00929
2.6.1.7,774000.0,16643;57844,C00073;D00019,6137;6992087,HMDB00696
2.6.1.7,137880.0,,,21889526,
2.6.1.7,842400.0,30831,C00109,58,HMDB00005
2.6.1.7,12564.0,30831,C00109,58,HMDB00005
2.6.1.7,3312.0,16530,C00141,49,HMDB00019
2.6.1.7,6480.0,16946;57959,C00328,161166;6971029,HMDB00684
2.6.1.7,7920.0,16946;57959,C00328,161166;6971029,HMDB00684
2.6.1.7,35136.0,16946;57959,C00328,161166;6971029,HMDB00684
2.6.1.7,723600.0,16946;57959,C00328,161166;6971029,HMDB00684
2.6.1.7,13104.0,16891;35910;53274,C00048,760,HMDB00119
