ec,value,chebi,kegg,pubchem,hmdb
2.7.1.25,50760.0,17709,C00224,10238,HMDB01003
2.7.1.25,50760.0,17709,C00224,10238,HMDB01003
2.7.1.25,296280.0,17709,C00224,10238,HMDB01003
2.7.1.25,979200.0,17709,C00224,10238,HMDB01003
2.7.1.25,979200.0,17709,C00224,10238,HMDB01003
2.7.1.25,979200.0,17709,C00224,10238,HMDB01003
2.7.1.25,180000.0,17709,C00224,10238,HMDB01003
2.7.1.25,1310.4,17709,C00224,10238,HMDB01003
2.7.1.25,323.99999999999994,,C13742,440317;444377,
2.7.1.25,6120.0,15422,C00002;D08646,5957,HMDB00538
2.7.1.25,8280.0,15422,C00002;D08646,5957,HMDB00538
2.7.1.25,15840.0,15422,C00002;D08646,5957,HMDB00538
3.4.24.15,720.0,,,,
3.4.24.15,1800.0,,,,
3.4.24.15,31320.0,,,25108490,
3.4.24.15,44280.0,,,,
3.4.24.15,36360.0,,,,
3.4.24.15,20880.0,,,,
3.4.24.15,18720.0,,,,
3.4.24.15,36360.0,,,,
3.4.24.15,3204.0,,,,
3.4.24.15,21888.0,,,,
3.4.24.15,3384.0,,,,
3.4.24.15,5400.0,,,,
3.4.24.15,21888.0,,,,
3.4.24.15,1080.0,,,,
3.4.24.15,1908.0,,,,
3.4.24.15,5040.0,,,,
3.4.24.15,21888.0,,,,
3.4.24.15,1080.0,,,,
3.4.24.15,121679.99999999999,3165,C00306,439201,HMDB04246
3.4.24.15,72.0,,,,
3.4.24.15,684.0,,,,
3.4.24.15,4320.0,,,,
3.4.24.15,5040.0,,,,
3.4.24.15,24120.0,,,,
3.4.24.15,21240.0,,,,
3.4.24.15,9000.0,,,,
3.4.24.15,4140.0,,,,
3.4.24.15,20520.0,,,,
3.4.24.15,22680.0,,,,
3.4.24.15,32760.0,,,,
3.4.24.15,15120.0,,,,
3.4.24.15,107.99999999999999,,,,
3.4.24.15,8280.0,,,,
3.4.24.15,15480.0,,,,
3.4.24.15,144.0,,,,
3.4.24.15,2772.0,,,,
3.4.24.15,21888.0,,,,
3.4.24.15,13680.0,,,,
3.4.24.15,21240.0,,,,
3.4.24.15,15480.0,,,,
3.4.24.15,2700.0,,,,
3.4.24.15,720.0,,,,
3.4.24.15,1080.0,,,,
3.4.24.15,25200.0,,,,
3.4.24.15,47880.0,,,,
3.4.24.15,10800.0,,,,
3.4.24.15,9000.0,,,,
3.4.24.15,6480.0,,,,
3.4.24.15,18900.0,,,,
3.4.24.15,31680.0,,,,
3.4.24.15,33120.0,,,,
3.4.24.15,11880.0,,,,
3.4.24.15,6480.0,,,,
3.4.24.15,10800.0,,,,
3.4.24.15,10440.0,,,,
3.4.24.15,5220.0,,,,
3.4.24.15,16343.999999999998,,,,
3.4.24.15,7200.0,,,,
3.4.24.15,9900.0,,,,
3.4.24.15,30960.0,,,,
3.4.24.15,5040.0,,,,
3.4.24.15,6480.0,,,,
3.4.24.15,88920.0,,,,
3.4.24.15,1080.0,,,,
3.4.24.15,40320.0,,,,
3.4.24.15,44280.0,,,,
3.4.24.15,17640.0,,,,
3.4.24.15,311040.0,,,10486131,
3.4.24.15,360.0,,,,
3.4.24.15,2520.0,,,,
3.4.24.15,5760.0,,,,
3.4.24.15,42480.0,,,,
3.4.24.15,69120.0,,,,
3.4.24.15,5400.0,,,,
3.4.24.15,6480.0,,,,
3.4.24.15,28440.0,,,,
3.4.24.15,35640.0,,,,
3.4.24.15,2520.0,,,,
3.4.24.15,1080.0,,,,
3.4.24.15,2160.0,,,,
3.4.24.15,63000.0,,,,
3.4.24.15,14400.0,,,,
3.4.24.15,12960.0,,,,
3.4.24.15,25560.0,,,,
3.4.24.15,22320.0,,,,
3.4.24.15,2520.0,,,,
3.4.24.15,43200.0,5520,D08027,638793,
3.4.24.15,2160.0,,,,
3.4.24.15,5760.0,,,,
3.4.24.15,5400.0,,,,
3.4.24.15,25200.0,,,,
3.4.24.15,16200.0,,,,
3.4.24.15,7920.0,,,,
3.4.24.15,13680.0,,,,
3.4.24.15,32040.0,,,,
3.4.24.15,2951.9999999999995,,,,
3.4.24.15,8280.0,,,,
3.4.24.15,21888.0,,,,
3.4.24.15,41400.0,,,,
3.4.24.15,21600.0,,,,
3.4.24.15,2664.0,,,,
3.4.24.15,15120.0,,,,
3.4.24.15,21888.0,,,,
3.4.24.15,9720.0,,,,
3.4.24.15,3960.0,,,,
3.4.24.15,16920.0,,,,
3.4.24.15,13320.0,,,,
3.4.24.15,11160.0,,,,
3.4.24.15,61200.0,,,,
3.4.24.15,720.0,,,,
3.4.24.15,1080.0,,,,
3.4.24.15,36720.0,,,,
3.4.24.15,39960.0,,,,
3.4.24.15,1440.0,,,,
3.4.24.15,11520.0,,,,
3.4.24.15,11160.0,,,,
3.4.24.15,25200.0,,,,
3.4.24.15,12240.0,,,,
3.4.24.15,36.0,,,,
3.4.24.15,136440.0,,,122260,
3.4.24.15,3960.0,,,,
3.4.24.15,39960.0,,,,
3.4.24.15,11520.0,,,,
3.4.24.15,22680.0,,,,
3.4.24.15,20520.0,,,,
3.4.24.15,19080.0,,,,
3.4.24.15,52200.0,,,,
3.4.24.15,66600.0,,,,
3.4.24.15,6120.0,,,,
3.4.24.15,1080.0,,,,
3.4.24.15,2591.9999999999995,,,,
3.4.24.15,3276.0,,,,
3.4.24.15,3852.0,,,,
3.4.24.15,1080.0,,,,
3.4.24.15,1584.0,,,,
3.4.24.15,3600.0,,,,
3.4.24.15,16920.0,,,,
3.4.24.15,28800.0,,,,
3.4.24.15,41400.0,,,,
3.4.24.15,22680.0,,,,
3.4.24.15,10440.0,,,,
3.4.24.15,11520.0,,,,
3.4.24.15,17172.0,,,,
3.4.24.15,173880.0,,,,
3.4.24.15,644400.0,,,,
3.4.24.15,5760.0,,,,
3.4.24.15,19080.0,,,,
3.4.24.15,2412.0,,,,
3.4.24.15,14759.999999999998,,,,
3.4.24.15,21888.0,,,,
3.4.24.15,3960.0,,,,
3.4.24.15,17280.0,,,,
3.4.24.15,5760.0,,,,
3.4.24.15,7920.0,,,,
3.4.24.15,21600.0,,,,
3.4.24.15,2520.0,,,,
3.4.24.15,5760.0,,,,
3.4.24.15,9360.0,,,,
3.4.24.15,1188.0,,,,
3.4.24.15,47880.0,,,,
3.4.24.15,30240.0,,,,
3.4.24.15,2700.0,,,,
3.4.24.15,10800.0,,,,
3.4.24.15,3600.0,,,,
3.4.24.15,7920.0,,,,
3.4.24.15,77400.0,,,,
3.4.24.15,11160.0,,,,
3.4.24.15,12240.0,,,,
3.4.24.15,13320.0,,,,
3.4.24.15,9360.0,,,,
3.4.24.15,35280.0,,,,
3.4.24.15,10800.0,,,,
3.4.24.15,27720.0,,,,
3.4.24.15,29519.999999999996,,,,
3.4.24.15,32040.0,,,,
3.4.24.15,19080.0,,,,
3.4.24.15,15120.0,,,,
3.4.24.15,28440.0,,,,
3.4.24.15,14400.0,,,,
2.7.8.7,4788.000000000001,,,,
2.7.8.7,7.199999999999999,,,,
2.7.8.7,2160.0,,,,
2.7.8.7,2520.0,,,,
2.7.8.7,2700.0,,,,
2.7.8.7,3420.0,,,,
2.7.8.7,1141.2,,,,
2.7.8.7,1800.0,,,,
2.7.8.7,601.2,,,,
2.7.8.7,323.99999999999994,,,,
2.7.8.7,863.9999999999999,18420,C00305,888,HMDB00547
2.7.8.7,1.44,15531;84127,C00083;C03188,644066,
2.7.8.7,360.0,15531;84127,C00083;C03188,644066,
2.7.8.7,360.0,15531;84127,C00083;C03188,644066,
2.7.8.7,1440.0,15525,C00154,644109,
2.7.8.7,4.68,,,,
2.7.8.7,504.0,,,,
2.7.8.7,658.8000000000001,,,,
2.7.8.7,5148.0,,,,
2.7.8.7,7.199999999999999,15346;62204,C00010,87642,
2.7.8.7,1080.0,15346;62204,C00010,87642,
2.7.8.7,3600.0,15346;62204,C00010,87642,
2.7.8.7,10080.0,15346;62204,C00010,87642,
2.7.8.7,9.72,15346;62204,C00010,87642,
2.7.8.7,133.2,15346;62204,C00010,87642,
2.7.8.7,270.0,15346;62204,C00010,87642,
2.7.8.7,3.5999999999999996,,,,
2.7.8.7,612.0000000000001,,,,
2.7.8.7,3.5999999999999996,15345,C00332,92153,
2.7.8.7,720.0,15345,C00332,92153,
2.7.8.7,720.0,15345,C00332,92153,
2.7.8.7,1800.0,,,,
2.7.8.7,2.52,,,,
2.7.8.7,252.0,,,,
2.7.8.7,14.399999999999999,,,,
2.7.8.7,107.99999999999999,,,,
2.7.8.7,1.7999999999999998,,,,
2.7.8.7,180.0,,,,
2.7.8.7,32.4,15351,C00024,444493,HMDB01206
2.7.8.7,720.0,15351,C00024,444493,HMDB01206
2.7.8.7,863.9999999999999,15351,C00024,444493,HMDB01206
2.7.8.7,1440.0,15351,C00024,444493,HMDB01206
2.7.8.7,14.399999999999999,28493,C05274,164800,
2.7.8.7,1800.0,28493,C05274,164800,
2.7.8.7,10.799999999999999,53152,,25244394,
2.7.8.7,1440.0,53152,,25244394,
2.7.8.7,1.7999999999999998,,,,
2.7.8.7,612.0000000000001,,,,
2.7.8.7,10.799999999999999,15532,C02593,11966124,
2.7.8.7,1800.0,15532,C02593,11966124,
2.7.8.7,46.8,,,,
2.7.8.7,647.9999999999999,,,,
2.7.8.7,14.399999999999999,15517,C00136,122283,
2.7.8.7,720.0,15517,C00136,122283,
2.7.8.7,1080.0,15517,C00136,122283,
2.7.8.7,18.0,15473;36926,C00877,5497143,
2.7.8.7,720.0,15473;36926,C00877,5497143,
2.4.1.152,6120.0,,,,
1.8.1.4,684000.0,,,68241,
1.8.1.4,316800.0,17460,C00248;D00048,863,HMDB00962
1.8.1.4,487800.0,17460,C00248;D00048,863,HMDB00962
1.8.1.4,1868400.0,17460,C00248;D00048,863,HMDB00962
1.8.1.4,2336400.0,17460,C00248;D00048,863,HMDB00962
1.8.1.4,487800.0,15846,C00003;D00002,5893,HMDB00902
1.8.1.4,2066400.0,15846,C00003;D00002,5893,HMDB00902
1.8.1.4,792000.0,,,,
1.8.1.4,259200.0,16389,,4462,HMDB02012
1.8.1.4,1080000.0,16389,,4462,HMDB02012
1.8.1.4,388800.0,16509,C00472,4650,HMDB03364
1.8.1.4,1224000.0,16908,C00004,439153,
1.8.1.4,1612800.0,16908,C00004,439153,
1.8.1.4,252000.0,30314,C16241,6112,HMDB01451
1.8.1.4,1612800.0,17694,C00579,663,HMDB00985
1.8.1.4,1818000.0,17694,C00579,663,HMDB00985
1.8.1.4,1818000.0,17694,C00579,663,HMDB00985
1.8.1.4,2041200.0,17694,C00579,663,HMDB00985
1.8.1.4,3236400.0,17694,C00579,663,HMDB00985
1.8.1.4,900.0,15379;27140,C00007;D00003,977,HMDB01377
1.8.1.7,1224.0000000000002,80708,C16758,5386591,
1.8.1.7,5292.0,80708,C16758,5386591,
1.8.1.7,1224.0000000000002,,,11355645,
1.8.1.7,1260.0,,,11355645,
1.8.1.7,9360.0,80707,C16757,9881148,
1.8.1.7,1080.0,,,68238,
1.8.1.7,1260.0,,,12300225,
1.8.1.7,1260.0,,,12300225,
1.8.1.7,3600.0,27418,C02617,8530,
1.8.1.7,3888.000000000001,27418,C02617,8530,
1.8.1.7,3888.000000000001,27418,C02617,8530,
1.8.1.7,396.0,37487,,6688,
1.8.1.7,57600.0,,,7000011,
1.8.1.7,576.0,17842,C02090,449517,
1.8.1.7,366120.0,17842,C02090,449517,
1.8.1.7,25200.0,28849,,10141,
1.8.1.7,18000.0,19363,,95715,
1.8.1.7,360.0,,D03774,42616,
1.8.1.7,117000.0,16908,C00004,439153,
1.8.1.7,19800.0,15794,C03840,3806,
1.8.1.7,3960.0,,,68241,
1.8.1.7,173880.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,180504.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,432000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,594000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,756000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,756000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,756000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,756000.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,1141200.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,2639880.0,17858,C00127;D00031,11215652;65359,
1.8.1.7,5580.0,,,388306,
1.8.1.7,8028.000000000001,,,388306,
1.8.1.7,720.0,,,70291,
1.8.1.7,135000.0,16474,C00005,5884,
1.8.1.7,193392.0,16474,C00005,5884,
1.8.1.7,3240000.0,16474,C00005,5884,
1.8.1.7,504.0,28869,C05377,4055,HMDB01892
1.8.1.7,576.0,28869,C05377,4055,HMDB01892
1.8.1.7,576.0,28869,C05377,4055,HMDB01892
1.8.1.7,468.00000000000006,,,68372406,
1.8.1.7,1404.0000000000002,,,68372406,
1.8.1.7,360.0,,C10312;D07107,2950,
1.8.1.7,792.0,37454,C03243,6763,
1.8.1.7,288.0,,,23525632,
1.8.1.7,396.0,,,23525632,
1.8.1.7,576.0,78492,,16315,
2.4.1.133,6444.0,,,92229,
2.4.1.133,10800.0,16082,,19235,
2.4.1.133,259200.0,46229;52249,C00029,8629,
2.4.1.133,100.8,67119,,18068,HMDB00302
2.4.1.133,3996.0000000000005,67119,,18068,HMDB00302
2.4.1.133,4103.999999999999,67119,,18068,HMDB00302
2.4.1.133,5472.0,67119,,18068,HMDB00302
2.4.1.133,18309600.0,67119,,18068,HMDB00302
4.2.3.12,115.19999999999999,,C04895,121885,HMDB00980
2.7.7.15,119879.99999999999,17677,C00063,6176,HMDB00082
2.7.7.15,756.0,18132,C00588,1014,HMDB01565
2.7.7.15,5436.0,18132,C00588,1014,HMDB01565
2.7.7.15,7992.000000000001,18132,C00588,1014,HMDB01565
2.7.7.15,63000.0,18132,C00588,1014,HMDB01565
2.7.7.15,63720.0,18132,C00588,1014,HMDB01565
2.7.7.15,112680.0,18132,C00588,1014,HMDB01565
2.7.7.14,4140.0,17677,C00063,6176,HMDB00082
1.8.1.9,5760000.0,,C05688,25076,HMDB03288
1.8.1.9,900.0,16474,C00005,5884,
1.8.1.9,1260.0,16474,C00005,5884,
1.8.1.9,2340.0,16474,C00005,5884,
1.8.1.9,119879.99999999999,16474,C00005,5884,
1.8.1.9,828.0,,,7000011,
1.8.1.9,900.0,,,7000011,
1.8.1.9,1980.0,,,7000011,
1.8.1.9,2232.0,,,7000011,
1.8.1.9,5760.0,,,7000011,
1.8.1.9,6372.0,,,7000011,
1.8.1.9,8028.000000000001,,,7000011,
1.8.1.9,8028.000000000001,,,7000011,
1.8.1.9,8640.0,,,7000011,
1.8.1.9,9107.999999999998,,,7000011,
1.8.1.9,9432.000000000002,,,7000011,
