ec,value,chebi,kegg,pubchem,hmdb
2.3.1.137,1321.2,15533,C01944,445344,
2.5.1.56,2988.0,63153,C00645,439281,HMDB01129
2.5.1.56,71640.0,63153,C00645,439281,HMDB01129
2.5.1.56,42480.0,,,,
2.5.1.56,2880.0,,,,
2.5.1.56,68400.0,,C00074,1005;58114173;59658623,HMDB00263
2.5.1.56,12600.0,,,,
3.2.1.114,9.0,,,449023,
3.2.1.114,16812.0,61663,C19773,5288768,
3.4.21.59,100440.0,,,,
3.4.21.59,144000.0,,,,
3.4.21.59,165240.0,,,,
3.4.21.59,271800.0,,,,
3.4.21.59,84600.0,,,123650,
3.4.21.59,1800.0,,,,
3.4.21.59,5400.0,,,66704001,
3.4.21.59,6120.0,,,66704001,
3.4.21.59,9360.0,,,66704001,
3.4.21.59,203040.0,,,66704001,
3.4.21.59,204840.0,,,66704001,
3.4.21.59,2998.7999999999997,,,122333,
3.4.21.59,25560.0,,,122333,
3.4.21.59,58680.0,,,122333,
3.4.21.59,75960.0,,,122333,
3.4.21.59,111600.0,,,122333,
3.4.21.59,6732000.0,,,,
3.4.21.59,86760.0,,,,
3.4.21.59,97560.0,,,,
3.4.21.59,183600.0,,,,
3.4.21.59,214200.0,,,,
3.4.21.59,5040.0,,,21120493,
3.4.21.59,7920.0,,,126377,
3.4.21.59,1983600.0,,,21120970,
3.4.21.59,1990800.0,,,21120970,
3.4.21.59,180.0,,,2733801,
3.4.21.59,3960.0,,,,
3.4.21.59,12600.0,,,,
3.4.21.59,54720.0,,,72699209,
3.4.21.59,82440.0,,,72699209,
3.4.21.59,109800.0,,,72699209,
3.4.21.59,9460800.0,,,72699209,
3.4.21.59,9468000.0,,,72699209,
3.4.21.59,838800.0,,,,
3.4.21.59,10080.0,,,10482368,
3.4.21.59,18000.0,,,10482368,
3.4.21.59,18720.0,,,10482368,
3.4.21.59,19080.0,,,10482368,
3.4.21.59,25200.0,,,,
3.4.21.59,1566000.0,,,,
3.4.21.59,612000.0,,,,
3.4.21.59,5472000.0,,,,
3.4.21.59,43200.0,,,16220038,
3.4.21.59,164520.0,,,,
3.4.21.59,3564.0,,,,
3.4.21.59,3960.0,,,,
3.4.21.59,19260.0,,,193656,
3.4.21.59,19872.0,,,193656,
3.4.21.59,13680.0,,,,
3.4.21.59,78300.0,,,,
3.4.21.59,78480.0,,,,
3.4.21.59,107.99999999999999,,,2728026,
3.4.21.59,5976.0,,,2728026,
3.4.21.59,9036.0,,,2728026,
3.4.21.59,10584.0,,,2728026,
3.4.21.59,10800.0,,,2728026,
3.4.21.59,23435.999999999996,,,2728026,
3.4.21.59,32040.0,,,2728026,
3.4.21.59,673200.0,,,,
3.4.21.59,1360800.0,,,,
3.4.21.59,11844000.0,,,25108645,
3.4.21.59,572400.0,,,,
3.4.21.59,2880.0,,,25108603,
3.4.21.59,7344000.0,,,25108603,
3.4.21.59,374400.0,,,,
3.4.21.59,385200.0,,,,
3.4.21.59,32400.0,,,14853363,
3.4.21.59,218160.0,,,14853363,
3.4.21.59,658800.0,,,14853363,
3.4.21.59,6840.0,,,,
3.4.21.59,10800.0,,,,
3.4.21.59,19440.0,,,,
3.4.21.59,37080.0,,,,
3.4.21.59,507600.0,,,,
3.4.21.59,716400.0,,,,
3.4.21.59,1321200.0,,,,
3.4.21.59,75600.0,,,,
3.4.21.59,3491.9999999999995,,,,
3.4.21.59,3564.0,,,,
2.7.1.11,57.599999999999994,61553,C00085,439160,
2.7.1.11,176400.0,61553,C00085,439160,
2.7.1.11,219600.0,61553,C00085,439160,
2.7.1.11,316800.0,61553,C00085,439160,
2.7.1.11,849600.0,15422,C00002;D08646,5957,HMDB00538
2.7.1.11,1285200.0,15422,C00002;D08646,5957,HMDB00538
2.7.1.15,36720.0,15422,C00002;D08646,5957,HMDB00538
2.7.1.15,74340.0,15422,C00002;D08646,5957,HMDB00538
2.7.1.15,172116.00000000003,15422,C00002;D08646,5957,HMDB00538
2.7.1.15,38880.0,,C00121,5779,HMDB00283
2.7.1.17,126000.0,,C00310,439204,HMDB03371
2.7.1.17,918000.0,,C00310,439204,HMDB03371
2.7.1.17,23760000.0,,C00310,439204,HMDB03371
2.7.1.17,853200.0,17151,C00379,,
2.7.1.17,846000.0,17173,,151261,HMDB00621
2.7.1.17,378000.0,18333,C01904,94154,
2.4.99.1,313.2,,,,
2.4.99.1,3178.8,,,644307,
2.4.99.1,4068.0,,,,
4.3.1.19,874800.0,17115,C00065;D00016,5951;6857581,HMDB00187
4.3.1.19,1033200.0,16857;57926,C00188;D00041,6288;6971019,HMDB00167
1.1.5.3,119879.99999999999,15943;55491,C03189,754,
1.1.3.15,1188.0,17375;17497;17893;52618,C00160;C03547,3698251;757,HMDB00115
1.1.3.15,12960.0,17375;17497;17893;52618,C00160;C03547,3698251;757,HMDB00115
1.1.3.15,14759.999999999998,17375;17497;17893;52618,C00160;C03547,3698251;757,HMDB00115
1.1.3.15,56160.0,17375;17497;17893;52618,C00160;C03547,3698251;757,HMDB00115
1.1.3.15,2664.0,,,9898876,
1.1.3.15,3744.0000000000005,33508,,752,
1.1.3.15,2520.0,16891;35910;53274,C00048,760,HMDB00119
1.1.3.15,2988.0,16891;35910;53274,C00048,760,HMDB00119
1.1.3.15,6840.0,,,21262170,
1.1.3.15,7560.0,,,21262170,
1.1.3.15,2736.0,64552,,4071895,
1.1.3.15,2124.0,32979,,5460756,
1.1.3.15,2520.0,32979,,5460756,
1.1.3.15,3564.0,,,6995013,
1.1.3.15,7200.0,,,6951541,
1.1.3.15,8640.0,,,6951541,
1.1.3.15,396.0,32800,C01984,439616,HMDB00703
1.1.3.15,5580.0,32800,C01984,439616,HMDB00703
1.1.3.15,9036.0,32800,C01984,439616,HMDB00703
1.1.3.15,194760.0,,,,
1.1.3.15,50.4,15603;57427,C00123;D00030,6106;7045798,HMDB00687
1.1.3.15,1224.0000000000002,75977,,12575964,
1.1.3.15,288.0,,,67600,HMDB13211
1.1.3.15,936.0000000000001,422,C00186,107689,HMDB00190
1.1.3.15,1368.0,422,C00186,107689,HMDB00190
1.1.3.15,1558.8,422,C00186,107689,HMDB00190
1.1.3.15,1656.0,422,C00186,107689,HMDB00190
1.1.3.15,1872.0000000000002,422,C00186,107689,HMDB00190
1.1.3.15,16920.0,422,C00186,107689,HMDB00190
1.1.3.15,1872.0000000000002,15379;27140,C00007;D00003,977,HMDB01377
1.1.3.15,3960.0,15379;27140,C00007;D00003,977,HMDB01377
1.1.3.15,16920.0,15379;27140,C00007;D00003,977,HMDB01377
1.1.3.15,1295.9999999999998,,,6994776,
4.3.2.1,11807.999999999998,,C03406,16950,HMDB00052
4.3.2.1,17640.0,,C03406,16950,HMDB00052
4.3.2.1,9000000.0,,C03406,16950,HMDB00052
4.3.2.1,10548000.0,,C03406,16950,HMDB00052
4.3.2.2,10440.0,16027,C00020;D02769,6083,HMDB00045
4.3.2.2,10440.0,18012;22958,C00122,21883788;444972,HMDB00134
4.3.2.2,6264.0,,C03794,447145,
4.3.2.2,360.0,,C03794,447145,
4.3.2.2,2520.0,,C03794,447145,
4.3.2.2,27000.0,,C03794,447145,
2.4.1.38,6840.0,,,,
2.4.1.38,36.0,16082,,19235,
2.4.1.38,10.799999999999999,,,10705,
2.4.1.38,6264.0,,,10306552,
2.4.1.38,4068.0,,,92229,
2.4.1.38,11880.0,35373;84373,C00734;C06023,3086191,
2.4.1.38,17315.999999999996,35373;84373,C00734;C06023,3086191,
2.4.1.38,5472.0,,,91509,
2.4.1.38,12060.0,,,,
2.4.1.38,8892.000000000002,,,,
2.4.1.38,17352.000000000004,50670,,439326,
2.4.1.38,72.0,46229;52249,C00029,8629,
2.4.1.38,215.99999999999997,46229;52249,C00029,8629,
2.4.1.38,900.0,46229;52249,C00029,8629,
2.4.1.38,215.99999999999997,28401;506227,C00140,439174,
2.4.1.38,900.0,28401;506227,C00140,439174,
2.4.1.38,50400.0,28401;506227,C00140,439174,
2.4.1.38,10.799999999999999,17200,C00167,17473,HMDB00935
2.4.1.38,12960.0,17029;61631,C03878,24139,HMDB00803
2.4.1.38,4103.999999999999,67119,,18068,HMDB00302
2.4.1.38,50400.0,67119,,18068,HMDB00302
1.17.4.1,169.2,17239,C00112,6132,HMDB01546
1.17.4.1,576.0,17239,C00112,6132,HMDB01546
1.17.4.1,936.0000000000001,17239,C00112,6132,HMDB01546
1.17.4.1,1044.0,17239,C00112,6132,HMDB01546
1.17.4.1,11988.0,17239,C00112,6132,HMDB01546
1.17.4.1,46440.0,17239,C00112,6132,HMDB01546
3.1.4.46,10080.0,62013,,3081457,
3.1.4.46,10080.0,62013,,3081457,
3.1.4.46,6803.999999999999,17440,C03360,378,
3.1.4.46,11880.0,5457,C03274,439964,
3.1.4.46,11880.0,5457,C03274,439964,
3.1.4.46,11520.0,,C00670,439285;58381695,
3.1.4.46,11520.0,,C00670,439285;58381695,
3.1.4.46,3960.0,16929;57952,,49791955;5459861,
3.1.4.46,3960.0,16929;57952,,49791955;5459861,
3.1.4.46,6480.0,,,,
3.1.4.46,6480.0,,,,
3.1.4.46,633.5999999999999,3122,C03779,255,
3.1.4.46,10007.999999999998,3122,C03779,255,
4.1.1.19,1508.4,,,87252221,
4.1.1.19,19656.0,16467,C00062;D02982,28782;6322,HMDB00517
4.1.1.19,24840.0,16467,C00062;D02982,28782;6322,HMDB00517
4.1.1.19,90.0,16467,C00062;D02982,28782;6322,HMDB00517
4.1.1.19,756.0,16467,C00062;D02982,28782;6322,HMDB00517
4.1.1.19,3240.0,16467,C00062;D02982,28782;6322,HMDB00517
4.1.1.19,5040.0,16467,C00062;D02982,28782;6322,HMDB00517
4.1.1.19,35640.0,16467,C00062;D02982,28782;6322,HMDB00517
4.1.1.19,144.0,15729,C00077;D08302,6262;88747248,HMDB00214
4.1.1.19,4392.0,28229;60257,C03884,132862;46906075,
4.1.1.19,396.0,405237;609827,C00308,439202;46224610,HMDB02706
2.8.1.2,2880.0,17588;58199,C00155,6971015;91552,
2.8.1.2,4680.0,,,,
2.8.1.2,3708.0000000000005,57678,,4182595,
2.8.1.2,108000.0,57678,,4182595,
2.8.1.2,594000.0,57678,,4182595,
2.8.1.2,1080.0,16856;60836,C00051;C02471;D00014,124886;25246407,HMDB00125
2.8.1.2,6120.0,18047,C02147,421,HMDB12210
2.8.1.2,8640.0,18379;18407,C01326,768,
2.8.1.2,21960.0,,,446094,
2.8.1.2,3960.0,17561;35235;47910;58717;61894,C00097;D00026,5862;6419722,HMDB00574
2.8.1.2,824400.0,,C00928,1567,
2.8.1.1,936000.0,16094,,1084,HMDB00257
3.6.3.14,61200.0,16761,C00008,6022,HMDB01341
3.6.3.14,57600.0,26078;52641;7794,C00009;D05467,1004;22486802,HMDB02142
3.6.3.14,19224.0,15422,C00002;D08646,5957,HMDB00538
3.6.3.14,781200.0,15422,C00002;D08646,5957,HMDB00538
3.6.3.14,1404000.0,15422,C00002;D08646,5957,HMDB00538
5.1.1.1,5760.0,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,9360.0,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,25200.0,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,1198.8,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,4741.2,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,14400.0,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,16077.600000000002,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,18961.2,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,20818.800000000003,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,22860.0,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,24541.199999999997,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,27421.199999999997,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,136440.0,15570;57416,C00133,71080;7311725,HMDB01310
5.1.1.1,3960.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,26280.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,34920.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,10080.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,60191.99999999999,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,79200.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,80891.99999999999,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,150552.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,186372.00000000003,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,194327.99999999997,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,241452.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,245628.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,255312.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
5.1.1.1,2275200.0,16977;57972,C00041;D00012,5950;7311724,HMDB00161
