GENE,PPM
100,nan
10005,8.0
10007,55.0
100137049,nan
10020,nan
10026,nan
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,2.0
10090,nan
10135,34.0
10157,0.45
10164,nan
10165,99.0
10166,nan
10195,nan
10201,nan
10229,5.0
10246,nan
10249,nan
10257,nan
102724197,nan
102724560,nan
10312,nan
10317,nan
10327,153.0
10331,nan
1036,22.0
10380,25.0
10390,2.0
10396,72.0
1040,nan
10400,nan
10402,nan
10423,11.0
10449,91.0
10455,13.0
10476,211.0
10478,nan
10554,7.0
10555,nan
10558,nan
10559,nan
1056,nan
10560,nan
10568,nan
10587,8.0
10588,0.31
10599,nan
10606,118.0
10610,nan
10632,982.0
10654,15.0
10678,nan
10682,8.0
10690,2.0
107,6.0
10720,nan
10723,nan
10724,16.0
10728,114.0
10768,25.0
10786,nan
10797,nan
108,5.0
10840,108.0
10841,nan
10846,nan
10858,3.0
10861,nan
10864,nan
10870,nan
10873,51.0
109,nan
10901,9.0
10905,nan
10919,nan
10935,321.0
10948,nan
10965,30.0
10975,nan
10991,10.0
10993,nan
10998,nan
10999,6.0
11000,nan
11001,nan
1103,nan
11041,1.0
11046,nan
1109,nan
111,0.95
11112,58.0
11136,nan
11164,26.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,nan
112,nan
1120,2.0
11212,36.0
11226,nan
11227,nan
11238,2.0
112483,nan
11253,nan
11254,nan
112611,0.62
112724,12.0
11282,nan
11283,nan
11285,nan
113,nan
113026,15.0
11309,nan
113189,nan
11320,nan
113235,3.0
113278,nan
11332,585.0
11343,166.0
113451,nan
113675,9.0
114,0.49
114112,nan
114134,8.0
114805,nan
114971,1.0
115,0.92
115019,nan
115111,nan
1152,7006.0
115286,4.0
115584,nan
1158,nan
1159,511.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,nan
12,17.0
1200,105.0
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,0.83
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,nan
124583,nan
124637,nan
124935,10.0
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,0.65
126328,279.0
126410,nan
1267,8604.0
126792,nan
127,nan
127124,nan
128,131.0
128869,2.0
129607,4.0
129642,1.0
129807,nan
13,nan
130,nan
130013,nan
130367,nan
130752,nan
131,nan
1312,38.0
131669,nan
132,4.0
132158,nan
1327,849.0
132789,46.0
1329,75.0
1337,183.0
1339,nan
1340,528.0
1345,634.0
134526,nan
1346,40.0
1347,80.0
1349,92.0
1350,76.0
1351,1.0
135152,nan
1356,8.0
1357,nan
1358,nan
1371,3.0
1373,nan
1374,17.0
1375,nan
1376,9.0
137872,6.0
137964,nan
1384,78.0
140679,30.0
140838,nan
142680,0.66
1431,1011.0
144193,nan
144195,nan
145226,nan
146712,nan
1468,3.0
1491,5.0
15,nan
1503,14.0
150763,nan
151531,nan
153201,nan
1537,236.0
154091,nan
1543,nan
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,nan
1576,nan
1577,nan
1579,nan
158,6.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,17.0
1591,nan
1592,nan
1593,0.34
1594,nan
1595,0.46
159963,nan
160287,nan
1603,23.0
160428,nan
1606,0.95
1607,6.0
160728,nan
1608,0.85
160851,0.28
1609,2.0
1610,nan
1621,nan
1622,103.0
162417,nan
162466,nan
1629,7.0
1632,46.0
1633,nan
1635,nan
1636,nan
1638,nan
1644,nan
1645,17.0
1650,8.0
166012,nan
1666,188.0
166785,0.47
169355,nan
170712,nan
171425,5.0
1716,7.0
1717,5.0
1718,0.46
1719,nan
1723,nan
1727,225.0
1737,245.0
1738,611.0
1743,193.0
175,3.0
1757,0.15
178,20.0
1786,4.0
1787,nan
1788,nan
1789,nan
1798,6.0
18,318.0
1800,nan
1806,nan
1807,nan
1808,7568.0
1809,227.0
1811,nan
1836,nan
1841,nan
1854,8.0
189,nan
1890,nan
1891,121.0
1892,228.0
19,nan
191,199.0
192134,nan
195814,nan
1962,26.0
