GENE,PPM
100,24.0
10005,165.0
10007,620.0
100137049,nan
10020,6.0
10026,33.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,nan
10090,nan
10135,792.0
10157,44.0
10164,nan
10165,nan
10166,30.0
10195,nan
10201,47.0
10229,20.0
10246,nan
10249,nan
10257,10.0
102724197,nan
102724560,nan
10312,nan
10317,nan
10327,243.0
10331,nan
1036,nan
10380,192.0
10390,32.0
10396,nan
1040,nan
10400,nan
10402,nan
10423,126.0
10449,82.0
10455,23.0
10476,1068.0
10478,57.0
10554,47.0
10555,48.0
10558,19.0
10559,nan
1056,nan
10560,nan
10568,nan
10587,9.0
10588,32.0
10599,nan
10606,409.0
10610,nan
10632,1167.0
10654,494.0
10678,nan
10682,94.0
10690,nan
107,nan
10720,nan
10723,nan
10724,53.0
10728,317.0
10768,109.0
10786,nan
10797,182.0
108,nan
10840,nan
10841,8.0
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,nan
109,nan
10901,117.0
10905,nan
10919,nan
10935,1034.0
10948,nan
10965,nan
10975,226.0
10991,nan
10993,nan
10998,nan
10999,82.0
11000,25.0
11001,nan
1103,nan
11041,nan
11046,nan
1109,nan
111,nan
11112,391.0
11136,nan
11164,711.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,nan
112,nan
1120,nan
11212,114.0
11226,nan
11227,nan
11238,nan
112483,52.0
11253,56.0
11254,nan
112611,nan
112724,357.0
11282,nan
11283,nan
11285,26.0
113,nan
113026,nan
11309,nan
113189,nan
11320,nan
113235,nan
113278,nan
11332,2174.0
11343,nan
113451,nan
113675,43.0
114,nan
114112,nan
114134,nan
114805,nan
114971,nan
115,nan
115019,nan
115111,nan
1152,nan
115286,nan
115584,nan
1158,nan
1159,42.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,34.0
12,nan
1200,129.0
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,nan
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,3.0
124583,nan
124637,nan
124935,nan
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,100.0
126410,nan
1267,436.0
126792,nan
127,nan
127124,nan
128,224.0
128869,118.0
129607,nan
129642,nan
129807,nan
13,nan
130,nan
130013,nan
130367,nan
130752,nan
131,nan
1312,641.0
131669,nan
132,61.0
132158,nan
1327,1060.0
132789,64.0
1329,1082.0
1337,nan
1339,nan
1340,485.0
1345,1350.0
134526,nan
1346,nan
1347,578.0
1349,nan
1350,nan
1351,391.0
135152,nan
1356,4.0
1357,nan
1358,nan
1371,207.0
1373,6.0
1374,604.0
1375,nan
1376,nan
137872,nan
137964,nan
1384,nan
140679,nan
140838,53.0
142680,nan
1431,621.0
144193,nan
144195,18.0
145226,nan
146712,nan
1468,32.0
1491,78.0
15,nan
1503,118.0
150763,6.0
151531,nan
153201,nan
1537,558.0
154091,nan
1543,nan
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,nan
1576,nan
1577,nan
1579,nan
158,333.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,237.0
1591,nan
1592,nan
1593,82.0
1594,nan
1595,330.0
159963,nan
160287,nan
1603,514.0
160428,nan
1606,nan
1607,nan
160728,nan
1608,nan
160851,nan
1609,5.0
1610,nan
1621,nan
1622,2065.0
162417,nan
162466,nan
1629,nan
1632,196.0
1633,97.0
1635,74.0
1636,nan
1638,58.0
1644,nan
1645,nan
1650,554.0
166012,nan
1666,178.0
166785,nan
169355,nan
170712,nan
171425,nan
1716,nan
1717,63.0
1718,99.0
1719,253.0
1723,35.0
1727,1010.0
1737,nan
1738,583.0
1743,51.0
175,27.0
1757,nan
178,8.0
1786,127.0
1787,nan
1788,nan
1789,5.0
1798,21.0
18,nan
1800,11.0
1806,nan
1807,nan
1808,523.0
1809,nan
1811,nan
1836,nan
1841,975.0
1854,855.0
189,nan
1890,20.0
1891,565.0
1892,881.0
19,nan
191,838.0
192134,nan
195814,nan
1962,37.0
196743,nan
196883,nan
197257,nan
197258,nan
199974,nan
200010,nan
200576,nan
201288,nan
2023,6764.0
2026,240.0
2027,105.0
203,936.0
2030,nan
204,1753.0
205,156.0
2052,47.0
2053,nan
206358,nan
2098,204.0
210,109.0
2108,605.0
2109,1419.0
211,nan
2110,nan
212,nan
213,335.0
2131,nan
2132,nan
2134,nan
2135,nan
2137,nan
2147,nan
215,286.0
216,81.0
2168,nan
217,nan
218,nan
2180,44.0
2181,983.0
2182,424.0
2184,288.0
219,138.0
2194,1082.0
220,792.0
2203,nan
221,nan
221823,nan
222,nan
2222,31.0
2224,307.0
222537,nan
223,129.0
2235,10.0
224,27.0
2243,5.0
225,nan
226,4147.0
2271,425.0
22856,nan
229,nan
22928,nan
22929,81.0
22934,74.0
22978,68.0
230,150.0
23007,3.0
23057,nan
231,703.0
23169,nan
23205,nan
23236,nan
2326,nan
2327,nan
2328,nan
2329,nan
2330,nan
23305,nan
23315,nan
23382,nan
23396,nan
23417,nan
23428,nan
23430,nan
23439,nan
23443,nan
23464,11.0
23475,368.0
23478,742.0
2348,nan
23483,nan
23498,nan
2350,nan
2352,nan
23530,668.0
23533,5.0
23539,nan
23545,nan
23556,nan
2356,nan
23563,nan
23600,nan
23632,nan
23657,nan
23743,nan
23761,nan
239,nan
240,nan
242,nan
245972,nan
245973,nan
246,nan
246213,nan
247,nan
248,nan
249,nan
2495,nan
250,nan
251,nan
2512,25.0
2517,74.0
2519,nan
2523,nan
2525,nan
2530,7.0
2531,41.0
253430,nan
2538,nan
2539,625.0
2542,21.0
2548,47.0
256435,nan
257068,nan
2571,nan
2572,nan
257202,nan
25769,nan
25796,735.0
2581,nan
2582,271.0
25828,430.0
2583,nan
25830,nan
2584,70.0
2585,20.0
2588,26.0
2589,nan
2590,168.0
25902,89.0
2591,nan
2592,nan
259230,nan
2593,nan
2595,nan
2597,18672.0
26,nan
26002,nan
260293,nan
26035,nan
26061,nan
26062,nan
26063,nan
2618,674.0
262,nan
26227,1020.0
26229,13.0
26266,nan
26275,170.0
26279,nan
2628,nan
26289,8.0
2629,83.0
26290,nan
26301,nan
2632,nan
26330,nan
2638,nan
2639,51.0
2643,nan
2645,nan
2650,nan
26503,nan
2651,nan
2653,157.0
266722,nan
267020,nan
2673,244.0
2678,nan
2679,nan
2683,11.0
2686,nan
2687,nan
26873,nan
2694,nan
270,nan
27010,nan
27034,nan
27068,234.0
27087,nan
27089,299.0
271,74.0
2710,8.0
27109,40.0
27115,nan
2712,nan
27124,nan
2713,nan
27159,nan
27165,nan
2717,81.0
272,nan
2720,110.0
27232,nan
27235,nan
2729,nan
2730,129.0
27306,nan
2731,nan
27349,12.0
2739,879.0
27430,210.0
2744,437.0
2745,377.0
2746,475.0
2747,8.0
275,nan
2752,nan
276,nan
2762,12.0
2766,436.0
277,nan
278,nan
279,nan
2799,270.0
28,nan
280,nan
2805,278.0
2806,509.0
2819,nan
2820,214.0
2821,1635.0
28231,nan
28232,nan
28234,nan
283871,87.0
284098,nan
284111,nan
284129,nan
284273,25.0
286016,nan
286297,nan
2875,nan
2876,134.0
2877,nan
2878,nan
2879,111.0
2880,nan
2882,nan
28965,nan
28972,nan
28976,287.0
28982,nan
290,nan
291,209.0
29124,nan
292,1338.0
293,2434.0
2936,105.0
2937,179.0
2944,58.0
2954,122.0
2974,nan
2977,6.0
2978,nan
29785,nan
29796,473.0
2982,nan
2983,nan
2984,nan
2986,nan
2987,250.0
29880,94.0
29881,nan
2990,nan
29906,nan
2992,50.0
29920,73.0
29922,nan
29925,12.0
29926,75.0
29929,nan
29953,nan
29958,nan
29968,550.0
2997,6.0
2998,nan
29988,nan
30,178.0
3000,nan
30061,nan
3028,1027.0
3029,44.0
3030,1886.0
3032,462.0
3033,446.0
3034,nan
3036,nan
3037,8.0
3038,nan
3067,nan
3073,301.0
3074,454.0
3081,nan
30814,nan
30815,nan
30833,169.0
3098,578.0
3099,159.0
31,73.0
3101,nan
314,nan
3141,nan
3145,126.0
3155,72.0
3156,20.0
3157,224.0
3158,nan
316,nan
3162,105.0
3163,466.0
3176,nan
3177,nan
318,29.0
32,nan
3242,nan
3251,422.0
3283,nan
3284,nan
3290,nan
3291,nan
3292,nan
3293,nan
3294,nan
3295,769.0
33,nan
3340,5.0
335,nan
337876,nan
338,nan
339221,nan
34,254.0
340024,nan
341,nan
3417,646.0
3418,398.0
3419,798.0
341947,nan
3420,222.0
3421,104.0
3422,375.0
3423,nan
3425,nan
343,nan
344,nan
345,nan
347734,187.0
348,nan
