GENE,PPM
100,22.0
10005,22.0
10007,239.0
100137049,nan
10020,25.0
10026,15.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,1.0
10060,nan
10087,7.0
10090,nan
10135,260.0
10157,46.0
10164,nan
10165,423.0
10166,56.0
10195,nan
10201,19.0
10229,5.0
10246,nan
10249,nan
10257,5.0
102724197,nan
102724560,nan
10312,4.0
10317,nan
10327,318.0
10331,nan
1036,nan
10380,202.0
10390,8.0
10396,nan
1040,nan
10400,nan
10402,nan
10423,117.0
10449,411.0
10455,290.0
10476,367.0
10478,11.0
10554,9.0
10555,4.0
10558,8.0
10559,nan
1056,nan
10560,nan
10568,nan
10587,52.0
10588,14.0
10599,nan
10606,469.0
10610,nan
10632,275.0
10654,23.0
10678,nan
10682,205.0
10690,nan
107,nan
10720,nan
10723,2.0
10724,31.0
10728,1591.0
10768,11.0
10786,nan
10797,119.0
108,nan
10840,81.0
10841,68.0
10846,nan
10858,nan
10861,0.16
10864,nan
10870,nan
10873,1.0
109,nan
10901,39.0
10905,4.0
10919,0.96
10935,1133.0
10948,0.22
10965,nan
10975,136.0
10991,103.0
10993,nan
10998,nan
10999,25.0
11000,nan
11001,43.0
1103,nan
11041,60.0
11046,7.0
1109,nan
111,nan
11112,126.0
11136,nan
11164,454.0
1118,nan
11181,nan
11182,2.0
11185,nan
1119,20.0
112,0.7
1120,nan
11212,74.0
11226,1.0
11227,nan
11238,nan
112483,nan
11253,11.0
11254,36.0
112611,nan
112724,8.0
11282,1.0
11283,nan
11285,2.0
113,nan
113026,0.55
11309,nan
113189,13.0
11320,nan
113235,nan
113278,nan
11332,61.0
11343,nan
113451,nan
113675,2.0
114,nan
114112,nan
114134,nan
114805,0.8
114971,14.0
115,0.58
115019,nan
115111,nan
1152,303.0
115286,nan
115584,nan
1158,nan
1159,3.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,nan
12,873.0
1200,nan
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,nan
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,10.0
124583,14.0
124637,nan
124935,3.0
124975,nan
125,nan
125061,2.0
125206,nan
125965,nan
126,nan
126129,nan
126328,328.0
126410,nan
1267,346.0
126792,5.0
127,216.0
