GENE,PPM
100,7.0
10005,0.56
10007,57.0
100137049,nan
10020,5.0
10026,11.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,nan
10060,nan
10087,2.0
10090,nan
10135,60.0
10157,0.68
10164,nan
10165,3.0
10166,0.91
10195,nan
10201,nan
10229,4.0
10246,nan
10249,nan
10257,0.1
102724197,nan
102724560,nan
10312,0.62
10317,nan
10327,212.0
10331,nan
1036,10.0
10380,63.0
10390,0.57
10396,2.0
1040,nan
10400,nan
10402,nan
10423,23.0
10449,347.0
10455,14.0
10476,361.0
10478,nan
10554,4.0
10555,nan
10558,8.0
10559,0.4
1056,nan
10560,nan
10568,nan
10587,12.0
10588,0.64
10599,nan
10606,59.0
10610,nan
10632,115.0
10654,9.0
10678,nan
10682,51.0
10690,nan
107,nan
10720,nan
10723,0.87
10724,1.0
10728,203.0
10768,14.0
10786,nan
10797,nan
108,nan
10840,2.0
10841,nan
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,3.0
109,nan
10901,50.0
10905,nan
10919,nan
10935,488.0
10948,nan
10965,nan
10975,nan
10991,nan
10993,nan
10998,nan
10999,6.0
11000,6.0
11001,4.0
1103,nan
11041,nan
11046,nan
1109,nan
111,nan
11112,97.0
11136,nan
11164,35.0
1118,nan
11181,nan
11182,nan
11185,3.0
1119,nan
112,0.36
1120,2.0
11212,39.0
11226,nan
11227,nan
11238,nan
112483,nan
11253,0.09
11254,nan
112611,nan
112724,6.0
11282,nan
11283,nan
11285,nan
113,nan
113026,2.0
11309,nan
113189,nan
11320,nan
113235,3.0
113278,nan
11332,21.0
11343,13.0
113451,0.16
113675,10.0
114,nan
114112,nan
114134,nan
114805,nan
114971,2.0
115,nan
115019,nan
115111,nan
1152,5770.0
115286,nan
115584,nan
1158,15.0
1159,112.0
1160,nan
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,240.0
118881,1.0
12,1099.0
1200,140.0
120103,nan
121260,nan
121278,nan
1215,896.0
122481,nan
122622,nan
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,nan
124583,4.0
124637,nan
124935,nan
124975,nan
125,2415.0
125061,2.0
125206,nan
125965,nan
126,187.0
126129,nan
126328,19.0
126410,nan
1267,73.0
126792,nan
127,nan
127124,nan
128,611.0
128869,nan
129607,nan
129642,nan
129807,nan
13,nan
130,0.57
