GENE,PPM
100,0.21
10005,4.0
10007,62.0
100137049,nan
10020,1.0
10026,4.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,0.12
10060,nan
10087,0.66
10090,0.12
10135,17.0
10157,0.25
10164,nan
10165,137.0
10166,nan
10195,0.32
10201,nan
10229,0.62
10246,nan
10249,nan
10257,nan
102724197,nan
102724560,nan
10312,nan
10317,nan
10327,213.0
10331,nan
1036,15.0
10380,41.0
10390,4.0
10396,4.0
1040,8.0
10400,17.0
10402,nan
10423,55.0
10449,69.0
10455,12.0
10476,168.0
10478,nan
10554,26.0
10555,nan
10558,8.0
10559,nan
1056,nan
10560,nan
10568,nan
10587,5.0
10588,7.0
10599,nan
10606,21.0
10610,nan
10632,230.0
10654,71.0
10678,nan
10682,108.0
10690,nan
107,1.0
10720,nan
10723,3.0
10724,4.0
10728,276.0
10768,66.0
10786,nan
10797,nan
108,0.34
10840,67.0
10841,nan
10846,nan
10858,0.33
10861,nan
10864,nan
10870,nan
10873,2.0
109,nan
10901,11.0
10905,0.21
10919,0.47
10935,337.0
10948,0.6
10965,nan
10975,nan
10991,5.0
10993,nan
10998,nan
10999,5.0
11000,nan
11001,2.0
1103,nan
11041,5.0
11046,nan
1109,nan
111,0.22
11112,275.0
11136,nan
11164,53.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,0.23
112,nan
1120,2.0
11212,35.0
11226,nan
11227,nan
11238,6.0
112483,2.0
11253,0.91
11254,nan
112611,2.0
112724,5.0
11282,nan
11283,nan
11285,nan
113,nan
113026,7.0
11309,nan
113189,nan
11320,nan
113235,0.79
113278,nan
11332,137.0
11343,3.0
113451,0.21
113675,7.0
114,0.44
114112,nan
114134,0.39
114805,nan
114971,16.0
115,nan
115019,nan
115111,nan
1152,15915.0
115286,2.0
115584,nan
1158,nan
1159,285.0
1160,0.31
116255,nan
116285,7.0
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,2.0
12,107.0
1200,28.0
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,15.0
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,nan
124583,nan
124637,nan
124935,0.56
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,7.0
126328,134.0
126410,nan
1267,179.0
126792,nan
127,nan
127124,nan
128,360.0
128869,nan
129607,3.0
129642,2.0
129807,0.2
13,nan
130,nan
130013,nan
130367,nan
130752,nan
131,nan
1312,125.0
131669,nan
132,8.0
132158,nan
1327,923.0
132789,46.0
1329,275.0
1337,4.0
1339,nan
1340,94.0
1345,235.0
134526,nan
1346,15.0
1347,262.0
1349,47.0
1350,32.0
1351,14.0
135152,nan
1356,144.0
1357,nan
1358,nan
1371,2.0
1373,0.09
1374,7.0
1375,nan
1376,21.0
137872,1.0
137964,nan
1384,8.0
140679,29.0
140838,nan
142680,nan
1431,877.0
144193,nan
144195,nan
145226,264.0
146712,nan
1468,3.0
1491,20.0
15,nan
1503,5.0
150763,nan
151531,nan
153201,nan
1537,265.0
154091,nan
1543,nan
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,0.44
157506,62.0
1576,nan
1577,nan
1579,nan
158,19.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,12.0
1591,nan
1592,nan
1593,11.0
1594,nan
1595,12.0
159963,nan
160287,nan
1603,28.0
160428,nan
1606,0.23
1607,nan
160728,nan
1608,0.37
160851,nan
1609,nan
1610,nan
1621,nan
1622,266.0
162417,nan
162466,nan
1629,7.0
1632,154.0
1633,3.0
1635,5.0
1636,0.48
1638,nan
1644,0.63
1645,9.0
1650,83.0
166012,nan
1666,68.0
166785,2.0
169355,nan
170712,nan
171425,2.0
1716,13.0
1717,8.0
1718,0.17
1719,nan
1723,3.0
1727,762.0
1737,189.0
1738,237.0
1743,184.0
175,1.0
1757,0.91
178,516.0
1786,0.47
1787,nan
1788,0.68
1789,nan
1798,3.0
18,234.0
1800,nan
1806,1.0
1807,nan
1808,3810.0
1809,1827.0
1811,nan
1836,nan
1841,5.0
1854,16.0
189,nan
1890,6.0
1891,69.0
1892,231.0
19,nan
191,364.0
192134,nan
195814,nan
1962,nan
196743,nan
196883,nan
197257,0.84
197258,7.0
199974,nan
200010,nan
200576,0.3
201288,nan
2023,16161.0
2026,5270.0
2027,2.0
203,537.0
2030,1.0
204,90.0
205,135.0
2052,276.0
2053,144.0
206358,nan
2098,732.0
210,28.0
2108,181.0
2109,194.0
211,0.06
2110,4.0
212,nan
213,5251.0
2131,nan
2132,nan
2134,nan
2135,nan
2137,nan
2147,7.0
215,0.49
216,5.0
2168,4.0
217,459.0
218,1.0
