GENE,PPM
100,100.0
10005,14.0
10007,148.0
100137049,nan
10020,24.0
10026,6.0
100287639,nan
10050,nan
100507855,nan
100526794,nan
10057,0.21
10060,nan
10087,18.0
10090,0.78
10135,350.0
10157,134.0
10164,nan
10165,140.0
10166,7.0
10195,nan
10201,11.0
10229,nan
10246,nan
10249,nan
10257,7.0
102724197,nan
102724560,nan
10312,0.23
10317,nan
10327,245.0
10331,nan
1036,nan
10380,180.0
10390,4.0
10396,nan
1040,nan
10400,nan
10402,nan
10423,126.0
10449,88.0
10455,62.0
10476,482.0
10478,10.0
10554,11.0
10555,0.98
10558,10.0
10559,nan
1056,nan
10560,5.0
10568,nan
10587,40.0
10588,13.0
10599,nan
10606,672.0
10610,nan
10632,145.0
10654,112.0
10678,nan
10682,156.0
10690,nan
107,nan
10720,nan
10723,1.0
10724,70.0
10728,802.0
10768,77.0
10786,nan
10797,131.0
108,nan
10840,4.0
10841,2.0
10846,nan
10858,nan
10861,nan
10864,nan
10870,nan
10873,1.0
109,nan
10901,20.0
10905,15.0
10919,3.0
10935,668.0
10948,10.0
10965,nan
10975,nan
10991,nan
10993,nan
10998,nan
10999,37.0
11000,2.0
11001,58.0
1103,nan
11041,9.0
11046,nan
1109,nan
111,nan
11112,46.0
11136,nan
11164,429.0
1118,nan
11181,nan
11182,nan
11185,nan
1119,9.0
112,0.52
1120,nan
11212,49.0
11226,2.0
11227,nan
11238,nan
112483,4.0
11253,2.0
11254,2.0
112611,0.39
112724,9.0
11282,nan
11283,nan
11285,2.0
113,nan
113026,0.91
11309,nan
113189,3.0
11320,nan
113235,nan
113278,nan
11332,128.0
11343,nan
113451,nan
113675,8.0
114,nan
114112,nan
114134,nan
114805,nan
114971,6.0
115,0.85
115019,nan
115111,nan
1152,4436.0
115286,nan
115584,nan
1158,nan
1159,119.0
1160,4.0
116255,nan
116285,nan
116369,nan
117247,nan
117248,nan
117283,nan
1178,nan
118881,0.9
12,0.29
1200,nan
120103,nan
121260,nan
121278,nan
1215,nan
122481,nan
122622,1.0
122970,nan
123041,nan
123099,nan
123745,nan
124,nan
1244,0.1
124583,10.0
124637,nan
124935,0.53
124975,nan
125,nan
125061,nan
125206,nan
125965,nan
126,nan
126129,nan
126328,487.0
126410,nan
1267,64.0
126792,2.0
127,0.8
127124,nan
128,343.0
128869,14.0
129607,nan
129642,4.0
129807,nan
13,nan
130,0.32
130013,nan
130367,nan
130752,nan
131,nan
1312,462.0
131669,nan
132,42.0
132158,nan
1327,323.0
132789,48.0
1329,94.0
1337,146.0
1339,nan
1340,239.0
1345,520.0
134526,nan
1346,nan
1347,985.0
1349,nan
1350,14.0
1351,nan
135152,nan
1356,nan
1357,nan
1358,nan
1371,289.0
1373,16.0
1374,5.0
1375,nan
1376,57.0
137872,nan
137964,nan
1384,9.0
140679,nan
140838,37.0
142680,nan
1431,387.0
144193,nan
144195,nan
145226,nan
146712,1.0
1468,17.0
1491,56.0
15,nan
1503,270.0
150763,nan
151531,nan
153201,nan
1537,170.0
154091,nan
1543,0.22
1544,nan
1545,nan
1548,nan
1549,nan
1551,nan
155184,nan
1553,nan
1555,nan
1557,nan
1558,nan
1559,nan
1562,nan
1565,nan
1571,nan
1572,nan
1573,nan
157506,4.0
1576,nan
1577,nan
1579,nan
158,295.0
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1588,nan
1589,nan
159,163.0
1591,0.04
1592,nan
1593,0.69
1594,nan
1595,24.0
159963,nan
160287,nan
1603,326.0
160428,12.0
1606,3.0
1607,nan
160728,nan
1608,nan
160851,0.58
1609,nan
1610,nan
1621,nan
1622,2092.0
162417,nan
162466,nan
1629,92.0
1632,96.0
1633,96.0
1635,22.0
1636,nan
1638,nan
1644,nan
1645,nan
1650,230.0
166012,nan
1666,66.0
166785,0.71
169355,nan
170712,nan
171425,1.0
1716,6.0
1717,36.0
1718,76.0
1719,nan
1723,9.0
1727,372.0
1737,135.0
1738,454.0
1743,38.0
175,7.0
1757,2.0
178,nan
1786,82.0
1787,nan
1788,5.0
1789,0.69
1798,10.0
18,nan
1800,nan
1806,1.0
1807,nan
1808,211.0
1809,132.0
1811,nan
1836,nan
1841,132.0
1854,272.0
189,nan
1890,3.0
1891,44.0
1892,306.0
19,nan
191,273.0
192134,nan
195814,nan
1962,11.0
196743,nan
196883,nan
197257,0.34
197258,1.0
199974,nan
200010,nan
200576,5.0
201288,nan
2023,527.0
2026,97.0
2027,2.0
203,574.0
2030,2.0
204,883.0
205,110.0
2052,280.0
2053,nan
206358,nan
2098,316.0
210,23.0
2108,319.0
2109,235.0
211,nan
2110,23.0
212,nan
213,nan
2131,nan
2132,0.6
2134,nan
2135,nan
2137,nan
2147,0.33
215,0.59
216,1.0
2168,0.16
217,203.0
218,0.04
2180,88.0
2181,69.0
2182,64.0
2184,22.0
219,51.0
2194,477.0
220,0.41
2203,0.08
221,nan
221823,nan
222,nan
2222,86.0
2224,167.0
222537,nan
223,203.0
2235,51.0
224,51.0
2243,0.29
225,nan
226,1234.0
2271,375.0
22856,0.96
229,nan
22928,nan
22929,141.0
22934,28.0
22978,73.0
230,nan
23007,1.0
23057,nan
231,629.0
23169,nan
23205,nan
23236,0.5
2326,nan
2327,nan
2328,nan
2329,nan
2330,nan
23305,1.0
23315,nan
23382,1.0
23396,10.0
23417,14.0
